task_id,domain,model_tag,layer,head,seq_len,method,param,frob_rel,kl_mean
TR01,travel,gemma3_4b,0,0,509,lowrank,2,1.021577,1.686534
TR01,travel,gemma3_4b,0,0,509,lowrank,4,0.524067,1.015273
TR01,travel,gemma3_4b,0,0,509,lowrank,8,0.484134,0.901844
TR01,travel,gemma3_4b,0,0,509,lowrank,16,0.417323,0.809217
TR01,travel,gemma3_4b,0,0,509,banded,2,1.890951,22.354269
TR01,travel,gemma3_4b,0,0,509,banded,5,1.446375,20.489624
TR01,travel,gemma3_4b,0,0,509,banded,10,1.191469,18.769814
TR01,travel,gemma3_4b,0,0,509,banded,20,0.968177,16.369495
TR01,travel,gemma3_4b,0,0,509,sparse_topk,5,0.318631,7.379581
TR01,travel,gemma3_4b,0,0,509,sparse_topk,10,0.176779,4.850195
TR01,travel,gemma3_4b,0,0,509,sparse_topk,20,0.077743,2.350501
TR01,travel,gemma3_4b,0,0,509,sparse_topk,40,0.02395,0.647801
TR01,travel,gemma3_4b,0,0,509,monarch,2,0.308345,4.490648
TR01,travel,gemma3_4b,0,0,509,monarch,4,0.584761,8.951907
TR01,travel,gemma3_4b,0,0,509,monarch,8,0.905535,13.734789
TR01,travel,gemma3_4b,0,1,509,lowrank,2,1.030298,2.751676
TR01,travel,gemma3_4b,0,1,509,lowrank,4,1.012436,2.606417
TR01,travel,gemma3_4b,0,1,509,lowrank,8,0.975843,2.493872
TR01,travel,gemma3_4b,0,1,509,lowrank,16,0.906553,2.262731
TR01,travel,gemma3_4b,0,1,509,banded,2,1.548073,18.591352
TR01,travel,gemma3_4b,0,1,509,banded,5,1.205121,17.493803
TR01,travel,gemma3_4b,0,1,509,banded,10,0.983259,16.025745
TR01,travel,gemma3_4b,0,1,509,banded,20,0.768636,13.279621
TR01,travel,gemma3_4b,0,1,509,sparse_topk,5,0.204843,4.644545
TR01,travel,gemma3_4b,0,1,509,sparse_topk,10,0.11798,2.996767
TR01,travel,gemma3_4b,0,1,509,sparse_topk,20,0.053798,1.432896
TR01,travel,gemma3_4b,0,1,509,sparse_topk,40,0.015943,0.374527
TR01,travel,gemma3_4b,0,1,509,monarch,2,0.333358,4.233866
TR01,travel,gemma3_4b,0,1,509,monarch,4,0.549284,8.025414
TR01,travel,gemma3_4b,0,1,509,monarch,8,0.769715,11.583071
TR01,travel,gemma3_4b,0,2,509,lowrank,2,0.826352,1.956964
TR01,travel,gemma3_4b,0,2,509,lowrank,4,0.803399,1.667448
TR01,travel,gemma3_4b,0,2,509,lowrank,8,0.767477,1.399344
TR01,travel,gemma3_4b,0,2,509,lowrank,16,0.695736,1.160508
TR01,travel,gemma3_4b,0,2,509,banded,2,1.812594,19.041248
TR01,travel,gemma3_4b,0,2,509,banded,5,1.363992,16.432198
TR01,travel,gemma3_4b,0,2,509,banded,10,0.974621,13.36663
TR01,travel,gemma3_4b,0,2,509,banded,20,0.637819,9.544204
TR01,travel,gemma3_4b,0,2,509,sparse_topk,5,0.242209,4.871352
TR01,travel,gemma3_4b,0,2,509,sparse_topk,10,0.1228,2.581685
TR01,travel,gemma3_4b,0,2,509,sparse_topk,20,0.051743,1.039547
TR01,travel,gemma3_4b,0,2,509,sparse_topk,40,0.012202,0.207881
TR01,travel,gemma3_4b,0,2,509,monarch,2,0.289308,2.135646
TR01,travel,gemma3_4b,0,2,509,monarch,4,0.486396,4.648284
TR01,travel,gemma3_4b,0,2,509,monarch,8,0.725019,8.067155
TR01,travel,gemma3_4b,0,3,509,lowrank,2,0.740855,0.772816
TR01,travel,gemma3_4b,0,3,509,lowrank,4,0.645596,0.731504
TR01,travel,gemma3_4b,0,3,509,lowrank,8,0.403977,0.650596
TR01,travel,gemma3_4b,0,3,509,lowrank,16,0.239306,0.332436
TR01,travel,gemma3_4b,0,3,509,banded,2,2.986058,21.676224
TR01,travel,gemma3_4b,0,3,509,banded,5,2.149508,20.677837
TR01,travel,gemma3_4b,0,3,509,banded,10,1.602986,19.233442
TR01,travel,gemma3_4b,0,3,509,banded,20,1.140338,16.7236
TR01,travel,gemma3_4b,0,3,509,sparse_topk,5,0.644961,11.280366
TR01,travel,gemma3_4b,0,3,509,sparse_topk,10,0.349459,7.527449
TR01,travel,gemma3_4b,0,3,509,sparse_topk,20,0.150451,3.60623
TR01,travel,gemma3_4b,0,3,509,sparse_topk,40,0.044954,0.980721
TR01,travel,gemma3_4b,0,3,509,monarch,2,0.562094,5.404751
TR01,travel,gemma3_4b,0,3,509,monarch,4,0.895264,9.747374
TR01,travel,gemma3_4b,0,3,509,monarch,8,1.301393,14.301032
TR01,travel,gemma3_4b,0,4,509,lowrank,2,1.240077,6.583677
TR01,travel,gemma3_4b,0,4,509,lowrank,4,1.176818,6.209541
TR01,travel,gemma3_4b,0,4,509,lowrank,8,1.03807,5.318043
TR01,travel,gemma3_4b,0,4,509,lowrank,16,0.952544,2.860461
TR01,travel,gemma3_4b,0,4,509,banded,2,0.533062,6.406634
TR01,travel,gemma3_4b,0,4,509,banded,5,0.170429,1.574417
TR01,travel,gemma3_4b,0,4,509,banded,10,0.144061,0.761076
TR01,travel,gemma3_4b,0,4,509,banded,20,0.095806,0.353213
TR01,travel,gemma3_4b,0,4,509,sparse_topk,5,0.011567,0.151731
TR01,travel,gemma3_4b,0,4,509,sparse_topk,10,0.00441,0.051159
TR01,travel,gemma3_4b,0,4,509,sparse_topk,20,0.001325,0.009482
TR01,travel,gemma3_4b,0,4,509,sparse_topk,40,0.00098,0.000597
TR01,travel,gemma3_4b,0,4,509,monarch,2,0.084051,0.138402
TR01,travel,gemma3_4b,0,4,509,monarch,4,0.159238,0.411076
TR01,travel,gemma3_4b,0,4,509,monarch,8,0.270491,0.956611
TR01,travel,gemma3_4b,0,5,509,lowrank,2,0.955546,2.247896
TR01,travel,gemma3_4b,0,5,509,lowrank,4,0.879169,1.695787
TR01,travel,gemma3_4b,0,5,509,lowrank,8,0.825783,1.473129
TR01,travel,gemma3_4b,0,5,509,lowrank,16,0.689603,1.204516
TR01,travel,gemma3_4b,0,5,509,banded,2,2.514306,21.019829
TR01,travel,gemma3_4b,0,5,509,banded,5,1.699448,17.183092
TR01,travel,gemma3_4b,0,5,509,banded,10,1.103014,12.765091
TR01,travel,gemma3_4b,0,5,509,banded,20,0.688439,8.868858
TR01,travel,gemma3_4b,0,5,509,sparse_topk,5,0.305523,5.221607
TR01,travel,gemma3_4b,0,5,509,sparse_topk,10,0.146322,2.626915
TR01,travel,gemma3_4b,0,5,509,sparse_topk,20,0.051432,0.859639
TR01,travel,gemma3_4b,0,5,509,sparse_topk,40,0.00787,0.088415
TR01,travel,gemma3_4b,0,5,509,monarch,2,0.405962,2.903428
TR01,travel,gemma3_4b,0,5,509,monarch,4,0.658788,5.164462
TR01,travel,gemma3_4b,0,5,509,monarch,8,0.961425,8.304795
TR01,travel,gemma3_4b,0,6,509,lowrank,2,0.946954,3.581434
TR01,travel,gemma3_4b,0,6,509,lowrank,4,0.940183,3.455774
TR01,travel,gemma3_4b,0,6,509,lowrank,8,0.919814,3.144649
TR01,travel,gemma3_4b,0,6,509,lowrank,16,0.902174,2.887596
TR01,travel,gemma3_4b,0,6,509,banded,2,0.829825,11.23326
TR01,travel,gemma3_4b,0,6,509,banded,5,0.792928,11.084236
TR01,travel,gemma3_4b,0,6,509,banded,10,0.737503,10.782347
TR01,travel,gemma3_4b,0,6,509,banded,20,0.674375,10.244164
TR01,travel,gemma3_4b,0,6,509,sparse_topk,5,0.055245,0.861196
TR01,travel,gemma3_4b,0,6,509,sparse_topk,10,0.016243,0.219718
TR01,travel,gemma3_4b,0,6,509,sparse_topk,20,0.001301,0.007446
TR01,travel,gemma3_4b,0,6,509,sparse_topk,40,0.001097,0.000107
TR01,travel,gemma3_4b,0,6,509,monarch,2,0.398847,4.793932
TR01,travel,gemma3_4b,0,6,509,monarch,4,0.589171,8.550417
TR01,travel,gemma3_4b,0,6,509,monarch,8,0.683899,10.001649
TR01,travel,gemma3_4b,0,7,509,lowrank,2,0.866461,2.882825
TR01,travel,gemma3_4b,0,7,509,lowrank,4,0.852473,2.747711
TR01,travel,gemma3_4b,0,7,509,lowrank,8,0.8229,2.570296
TR01,travel,gemma3_4b,0,7,509,lowrank,16,0.782935,2.337442
TR01,travel,gemma3_4b,0,7,509,banded,2,1.035933,14.691493
TR01,travel,gemma3_4b,0,7,509,banded,5,1.004086,14.494147
TR01,travel,gemma3_4b,0,7,509,banded,10,0.938571,14.055606
TR01,travel,gemma3_4b,0,7,509,banded,20,0.848546,13.288568
TR01,travel,gemma3_4b,0,7,509,sparse_topk,5,0.07075,1.088897
TR01,travel,gemma3_4b,0,7,509,sparse_topk,10,0.029194,0.399355
TR01,travel,gemma3_4b,0,7,509,sparse_topk,20,0.008875,0.087729
TR01,travel,gemma3_4b,0,7,509,sparse_topk,40,0.002125,0.011374
TR01,travel,gemma3_4b,0,7,509,monarch,2,0.492042,6.056791
TR01,travel,gemma3_4b,0,7,509,monarch,4,0.743822,10.986746
TR01,travel,gemma3_4b,0,7,509,monarch,8,0.837763,12.639421
