task_id,domain,model_tag,layer,head,seq_len,method,param,frob_rel,kl_mean
TR01,travel,ministral8b,0,0,667,lowrank,2,0.152294,0.338158
TR01,travel,ministral8b,0,0,667,lowrank,4,0.106067,0.220311
TR01,travel,ministral8b,0,0,667,lowrank,8,0.067817,0.144706
TR01,travel,ministral8b,0,0,667,lowrank,16,0.047072,0.097564
TR01,travel,ministral8b,0,0,667,banded,2,1.477169,24.317566
TR01,travel,ministral8b,0,0,667,banded,5,1.290624,23.916267
TR01,travel,ministral8b,0,0,667,banded,10,1.167652,23.33268
TR01,travel,ministral8b,0,0,667,banded,20,1.071209,22.256348
TR01,travel,ministral8b,0,0,667,sparse_topk,5,0.297393,4.268194
TR01,travel,ministral8b,0,0,667,sparse_topk,10,0.208408,3.064412
TR01,travel,ministral8b,0,0,667,sparse_topk,20,0.121434,1.783709
TR01,travel,ministral8b,0,0,667,sparse_topk,40,0.046575,0.613681
TR01,travel,ministral8b,0,0,667,monarch,2,0.634501,9.59322
TR01,travel,ministral8b,0,0,667,monarch,4,0.85601,15.425279
TR01,travel,ministral8b,0,0,667,monarch,8,1.005811,19.3575
TR01,travel,ministral8b,0,1,667,lowrank,2,0.171614,0.296264
TR01,travel,ministral8b,0,1,667,lowrank,4,0.132767,0.223804
TR01,travel,ministral8b,0,1,667,lowrank,8,0.058694,0.125105
TR01,travel,ministral8b,0,1,667,lowrank,16,0.04332,0.082988
TR01,travel,ministral8b,0,1,667,banded,2,1.547171,24.371429
TR01,travel,ministral8b,0,1,667,banded,5,1.332027,23.970505
TR01,travel,ministral8b,0,1,667,banded,10,1.19919,23.384247
TR01,travel,ministral8b,0,1,667,banded,20,1.092213,22.307787
TR01,travel,ministral8b,0,1,667,sparse_topk,5,0.29171,4.211809
TR01,travel,ministral8b,0,1,667,sparse_topk,10,0.205646,3.046642
TR01,travel,ministral8b,0,1,667,sparse_topk,20,0.1206,1.775974
TR01,travel,ministral8b,0,1,667,sparse_topk,40,0.04709,0.624332
TR01,travel,ministral8b,0,1,667,monarch,2,0.645385,9.566843
TR01,travel,ministral8b,0,1,667,monarch,4,0.877311,15.423863
TR01,travel,ministral8b,0,1,667,monarch,8,1.02659,19.414764
