task_id,domain,model_tag,layer,head,seq_len,method,param,frob_rel,kl_mean
TR01,travel,qwen3_8b,0,0,484,lowrank,2,1.043447,2.323038
TR01,travel,qwen3_8b,0,0,484,lowrank,4,0.79754,1.280365
TR01,travel,qwen3_8b,0,0,484,lowrank,8,0.630731,0.937569
TR01,travel,qwen3_8b,0,0,484,lowrank,16,0.485029,0.710194
TR01,travel,qwen3_8b,0,0,484,banded,2,2.597756,20.880707
TR01,travel,qwen3_8b,0,0,484,banded,5,1.861415,18.653828
TR01,travel,qwen3_8b,0,0,484,banded,10,1.319723,15.811766
TR01,travel,qwen3_8b,0,0,484,banded,20,0.855272,11.934386
TR01,travel,qwen3_8b,0,0,484,sparse_topk,5,0.374275,6.708086
TR01,travel,qwen3_8b,0,0,484,sparse_topk,10,0.187214,3.747154
TR01,travel,qwen3_8b,0,0,484,sparse_topk,20,0.073879,1.479541
TR01,travel,qwen3_8b,0,0,484,sparse_topk,40,0.01829,0.31661
TR01,travel,qwen3_8b,0,0,484,monarch,2,0.401823,3.352757
TR01,travel,qwen3_8b,0,0,484,monarch,4,0.70734,6.06948
TR01,travel,qwen3_8b,0,0,484,monarch,8,1.086771,10.605516
TR01,travel,qwen3_8b,0,1,484,lowrank,2,1.284387,9.095737
TR01,travel,qwen3_8b,0,1,484,lowrank,4,1.115844,7.039051
TR01,travel,qwen3_8b,0,1,484,lowrank,8,1.042645,6.134861
TR01,travel,qwen3_8b,0,1,484,lowrank,16,0.981502,5.121604
TR01,travel,qwen3_8b,0,1,484,banded,2,0.138062,1.398089
TR01,travel,qwen3_8b,0,1,484,banded,5,0.091396,1.239909
TR01,travel,qwen3_8b,0,1,484,banded,10,0.086472,1.187088
TR01,travel,qwen3_8b,0,1,484,banded,20,0.069842,0.997007
TR01,travel,qwen3_8b,0,1,484,sparse_topk,5,0.016332,0.214556
TR01,travel,qwen3_8b,0,1,484,sparse_topk,10,0.006244,0.069813
TR01,travel,qwen3_8b,0,1,484,sparse_topk,20,0.001928,0.013597
TR01,travel,qwen3_8b,0,1,484,sparse_topk,40,0.001144,0.00072
TR01,travel,qwen3_8b,0,1,484,monarch,2,0.070722,0.351137
TR01,travel,qwen3_8b,0,1,484,monarch,4,0.124917,0.697937
TR01,travel,qwen3_8b,0,1,484,monarch,8,0.20039,1.239587
TR01,travel,qwen3_8b,0,2,484,lowrank,2,1.381597,6.109742
TR01,travel,qwen3_8b,0,2,484,lowrank,4,1.156096,5.679143
TR01,travel,qwen3_8b,0,2,484,lowrank,8,1.026327,5.368129
TR01,travel,qwen3_8b,0,2,484,lowrank,16,0.976892,4.8583
TR01,travel,qwen3_8b,0,2,484,banded,2,0.510186,6.239769
TR01,travel,qwen3_8b,0,2,484,banded,5,0.470486,6.073214
TR01,travel,qwen3_8b,0,2,484,banded,10,0.388411,5.61006
TR01,travel,qwen3_8b,0,2,484,banded,20,0.29658,4.77654
TR01,travel,qwen3_8b,0,2,484,sparse_topk,5,0.14477,3.117898
TR01,travel,qwen3_8b,0,2,484,sparse_topk,10,0.085203,1.94172
TR01,travel,qwen3_8b,0,2,484,sparse_topk,20,0.042191,0.967025
TR01,travel,qwen3_8b,0,2,484,sparse_topk,40,0.014534,0.344226
TR01,travel,qwen3_8b,0,2,484,monarch,2,0.114815,1.388295
TR01,travel,qwen3_8b,0,2,484,monarch,4,0.206991,2.524229
TR01,travel,qwen3_8b,0,2,484,monarch,8,0.297057,4.12885
TR01,travel,qwen3_8b,0,3,484,lowrank,2,0.938279,1.745715
TR01,travel,qwen3_8b,0,3,484,lowrank,4,0.851123,1.28435
TR01,travel,qwen3_8b,0,3,484,lowrank,8,0.757627,0.932605
TR01,travel,qwen3_8b,0,3,484,lowrank,16,0.642304,0.784499
TR01,travel,qwen3_8b,0,3,484,banded,2,2.403744,19.740208
TR01,travel,qwen3_8b,0,3,484,banded,5,1.912665,18.253881
TR01,travel,qwen3_8b,0,3,484,banded,10,1.487148,16.200357
TR01,travel,qwen3_8b,0,3,484,banded,20,1.049065,13.022021
TR01,travel,qwen3_8b,0,3,484,sparse_topk,5,0.220363,3.930822
TR01,travel,qwen3_8b,0,3,484,sparse_topk,10,0.091197,1.662437
TR01,travel,qwen3_8b,0,3,484,sparse_topk,20,0.026112,0.413665
TR01,travel,qwen3_8b,0,3,484,sparse_topk,40,0.005026,0.055584
TR01,travel,qwen3_8b,0,3,484,monarch,2,0.459843,3.57736
TR01,travel,qwen3_8b,0,3,484,monarch,4,0.758933,6.769854
TR01,travel,qwen3_8b,0,3,484,monarch,8,1.1236,11.477904
TR01,travel,qwen3_8b,0,4,484,lowrank,2,0.978012,2.84217
TR01,travel,qwen3_8b,0,4,484,lowrank,4,0.961056,2.371625
TR01,travel,qwen3_8b,0,4,484,lowrank,8,0.930408,1.860384
TR01,travel,qwen3_8b,0,4,484,lowrank,16,0.88206,1.585343
TR01,travel,qwen3_8b,0,4,484,banded,2,1.301339,14.580483
TR01,travel,qwen3_8b,0,4,484,banded,5,0.757545,10.367519
TR01,travel,qwen3_8b,0,4,484,banded,10,0.437152,6.979263
TR01,travel,qwen3_8b,0,4,484,banded,20,0.234205,4.193288
TR01,travel,qwen3_8b,0,4,484,sparse_topk,5,0.138644,2.626512
TR01,travel,qwen3_8b,0,4,484,sparse_topk,10,0.061025,1.125239
TR01,travel,qwen3_8b,0,4,484,sparse_topk,20,0.019495,0.312088
TR01,travel,qwen3_8b,0,4,484,sparse_topk,40,0.004158,0.0473
TR01,travel,qwen3_8b,0,4,484,monarch,2,0.163986,0.829846
TR01,travel,qwen3_8b,0,4,484,monarch,4,0.330269,2.454662
TR01,travel,qwen3_8b,0,4,484,monarch,8,0.527432,4.643409
TR01,travel,qwen3_8b,0,5,484,lowrank,2,1.006247,3.726673
TR01,travel,qwen3_8b,0,5,484,lowrank,4,0.995747,3.653893
TR01,travel,qwen3_8b,0,5,484,lowrank,8,0.972184,3.40588
TR01,travel,qwen3_8b,0,5,484,lowrank,16,0.937729,2.368044
TR01,travel,qwen3_8b,0,5,484,banded,2,0.79771,12.190164
TR01,travel,qwen3_8b,0,5,484,banded,5,0.557045,11.051329
TR01,travel,qwen3_8b,0,5,484,banded,10,0.402054,9.792747
TR01,travel,qwen3_8b,0,5,484,banded,20,0.285177,8.27449
TR01,travel,qwen3_8b,0,5,484,sparse_topk,5,0.189683,6.537536
TR01,travel,qwen3_8b,0,5,484,sparse_topk,10,0.108405,4.406082
TR01,travel,qwen3_8b,0,5,484,sparse_topk,20,0.052106,2.337521
TR01,travel,qwen3_8b,0,5,484,sparse_topk,40,0.018486,0.806216
TR01,travel,qwen3_8b,0,5,484,monarch,2,0.149189,2.842785
TR01,travel,qwen3_8b,0,5,484,monarch,4,0.256681,5.387496
TR01,travel,qwen3_8b,0,5,484,monarch,8,0.346358,7.664112
TR01,travel,qwen3_8b,0,6,484,lowrank,2,1.134898,4.774467
TR01,travel,qwen3_8b,0,6,484,lowrank,4,0.967717,3.053952
TR01,travel,qwen3_8b,0,6,484,lowrank,8,0.933933,2.310973
TR01,travel,qwen3_8b,0,6,484,lowrank,16,0.872645,1.717977
TR01,travel,qwen3_8b,0,6,484,banded,2,1.309787,15.22468
TR01,travel,qwen3_8b,0,6,484,banded,5,0.671479,9.363383
TR01,travel,qwen3_8b,0,6,484,banded,10,0.34558,5.308986
TR01,travel,qwen3_8b,0,6,484,banded,20,0.140563,2.343754
TR01,travel,qwen3_8b,0,6,484,sparse_topk,5,0.073205,1.26816
TR01,travel,qwen3_8b,0,6,484,sparse_topk,10,0.02951,0.461903
TR01,travel,qwen3_8b,0,6,484,sparse_topk,20,0.007708,0.098219
TR01,travel,qwen3_8b,0,6,484,sparse_topk,40,0.001332,0.009503
TR01,travel,qwen3_8b,0,6,484,monarch,2,0.140685,0.541585
TR01,travel,qwen3_8b,0,6,484,monarch,4,0.288355,1.709329
TR01,travel,qwen3_8b,0,6,484,monarch,8,0.490985,3.460488
TR01,travel,qwen3_8b,0,7,484,lowrank,2,0.978199,3.104144
TR01,travel,qwen3_8b,0,7,484,lowrank,4,0.96053,2.565584
TR01,travel,qwen3_8b,0,7,484,lowrank,8,0.928864,2.016152
TR01,travel,qwen3_8b,0,7,484,lowrank,16,0.877508,1.705703
TR01,travel,qwen3_8b,0,7,484,banded,2,1.445838,15.735144
TR01,travel,qwen3_8b,0,7,484,banded,5,0.711797,9.540359
TR01,travel,qwen3_8b,0,7,484,banded,10,0.369686,5.694118
TR01,travel,qwen3_8b,0,7,484,banded,20,0.196605,3.259937
TR01,travel,qwen3_8b,0,7,484,sparse_topk,5,0.105871,1.894485
TR01,travel,qwen3_8b,0,7,484,sparse_topk,10,0.043276,0.740287
TR01,travel,qwen3_8b,0,7,484,sparse_topk,20,0.012011,0.176703
TR01,travel,qwen3_8b,0,7,484,sparse_topk,40,0.002082,0.020691
TR01,travel,qwen3_8b,0,7,484,monarch,2,0.162995,0.723681
TR01,travel,qwen3_8b,0,7,484,monarch,4,0.323999,2.04685
TR01,travel,qwen3_8b,0,7,484,monarch,8,0.527459,4.033918
TR01,travel,qwen3_8b,0,8,484,lowrank,2,1.30811,5.457289
TR01,travel,qwen3_8b,0,8,484,lowrank,4,1.183048,4.686937
TR01,travel,qwen3_8b,0,8,484,lowrank,8,1.057696,4.144197
TR01,travel,qwen3_8b,0,8,484,lowrank,16,0.967466,3.548649
TR01,travel,qwen3_8b,0,8,484,banded,2,0.633082,8.501476
TR01,travel,qwen3_8b,0,8,484,banded,5,0.472818,6.926993
