task_id,model_tag,layer,head,seq_len,band_width,target_group,selection_rank,source_erank,source_diag_conc,source_mean_dist,intervention_fired,kl_div,js_div,top10_overlap
TR01,gemma3_4b,31,6,509,5,high_complex_global,1,163.377675,0.23118333333333332,104.66947499999999,1,0.068545,0.016299,0.9
TR01,gemma3_4b,31,4,509,5,high_complex_global,2,166.81984166666666,0.2603166666666667,107.97698333333334,1,0.011421,0.002397,0.7
TR01,gemma3_4b,33,3,509,5,high_complex_global,3,156.20923333333334,0.2540833333333333,111.4472,1,0.002361,0.000548,0.8
TR01,gemma3_4b,31,2,509,5,high_complex_global,4,165.7208,0.26074166666666665,107.34972499999999,1,0.004094,0.001092,0.9
TR01,gemma3_4b,11,2,509,5,high_complex_global,5,191.54863333333333,0.286,87.91341666666666,1,0.104252,0.031167,0.6
TR01,gemma3_4b,22,4,509,5,high_complex_global,6,249.31613333333334,0.361925,73.03223333333334,1,0.020073,0.003758,0.8
TR01,gemma3_4b,33,7,509,5,local_band,1,328.76526666666666,0.9591500000000001,6.460825,1,0.000726,0.000188,0.9
TR01,gemma3_4b,0,4,509,5,local_band,2,262.1035083333333,0.9341166666666667,2.79265,1,0.056797,0.008549,0.8
TR01,gemma3_4b,4,6,509,5,local_band,3,319.10356666666667,0.909725,7.868941666666667,1,0.02167,0.006208,0.9
TR01,gemma3_4b,14,7,509,5,local_band,4,320.0781,0.7155333333333332,25.103058333333333,1,0.03359,0.006065,0.6
TR01,gemma3_4b,4,5,509,5,local_band,5,178.50811666666667,0.6897000000000001,29.030616666666663,1,0.058045,0.018343,0.8
TR01,gemma3_4b,33,5,509,5,local_band,6,255.63200833333335,0.6615583333333334,37.3009,1,0.012345,0.003625,0.8
TR01,gemma3_4b,31,1,509,5,low_rank_diffuse,1,2.5476,0.035725,158.56444166666665,1,0.00041,0.000102,0.8
TR01,gemma3_4b,28,6,509,5,low_rank_diffuse,2,3.651275,0.038141666666666664,154.853775,1,0.026615,0.004916,0.9
TR01,gemma3_4b,28,7,509,5,low_rank_diffuse,3,3.9080333333333335,0.04083333333333333,155.39915,1,0.038222,0.010649,0.7
TR01,gemma3_4b,29,6,509,5,low_rank_diffuse,4,12.577616666666666,0.06234166666666666,158.632325,1,0.051251,0.014789,0.9
TR01,gemma3_4b,27,0,509,5,low_rank_diffuse,5,15.676274999999999,0.06645,156.13494166666666,1,0.117153,0.037347,0.9
TR01,gemma3_4b,28,1,509,5,low_rank_diffuse,6,9.583066666666666,0.0532,150.08286666666666,1,0.015019,0.003271,0.9
