task_id,model_tag,layer,head,seq_len,band_width,target_group,selection_rank,source_erank,source_diag_conc,source_mean_dist,intervention_fired,kl_div,js_div,top10_overlap
TR01,ministral8b,5,27,667,5,high_complex_global,1,205.157875,0.180875,185.69635833333334,1,0.013506,0.003392,1.0
TR01,ministral8b,2,10,667,5,high_complex_global,2,255.459025,0.2300333333333333,171.16930833333333,1,0.002201,0.000546,1.0
TR01,ministral8b,5,24,667,5,high_complex_global,3,146.77435833333334,0.0894,174.80304166666667,1,0.032273,0.008066,0.9
TR01,ministral8b,8,24,667,5,high_complex_global,4,286.0439833333333,0.22725833333333334,151.79319999999998,1,0.002558,0.000621,1.0
TR01,ministral8b,33,13,667,5,high_complex_global,5,154.46959999999999,0.16654166666666667,188.47109166666667,1,0.008076,0.001912,1.0
TR01,ministral8b,13,17,667,5,high_complex_global,6,136.82805833333333,0.11264166666666665,176.44150000000002,1,0.006034,0.001493,1.0
TR01,ministral8b,35,14,667,5,local_band,1,453.74240000000003,0.9405083333333333,11.6344,1,0.001318,0.000333,1.0
TR01,ministral8b,0,10,667,5,local_band,2,391.24515,0.8235166666666666,27.581366666666668,1,0.002026,0.000495,1.0
TR01,ministral8b,17,22,667,5,local_band,3,448.5749583333333,0.7961,31.492975,1,0.001425,0.00036,1.0
TR01,ministral8b,14,7,667,5,local_band,4,445.5622333333333,0.76425,41.08844166666667,1,0.001421,0.000357,1.0
TR01,ministral8b,26,4,667,5,local_band,5,366.2835916666666,0.7667166666666666,42.966058333333336,1,0.001514,0.000382,1.0
TR01,ministral8b,0,8,667,5,local_band,6,261.51186666666666,0.6872416666666666,31.99315,1,0.001565,0.000393,1.0
TR01,ministral8b,23,21,667,5,low_rank_diffuse,1,2.4505333333333335,0.02475833333333333,221.16705833333333,1,0.001412,0.000356,1.0
TR01,ministral8b,27,12,667,5,low_rank_diffuse,2,2.382616666666667,0.0232,219.98170833333333,1,0.002502,0.000625,1.0
TR01,ministral8b,31,17,667,5,low_rank_diffuse,3,2.302633333333333,0.023733333333333332,219.16636666666668,1,0.000685,0.00017,1.0
TR01,ministral8b,24,4,667,5,low_rank_diffuse,4,2.4448,0.026583333333333334,220.03616666666667,1,0.002522,0.000632,1.0
TR01,ministral8b,27,17,667,5,low_rank_diffuse,5,2.3858166666666665,0.024258333333333337,219.26840833333333,1,0.001453,0.000365,1.0
TR01,ministral8b,24,24,667,5,low_rank_diffuse,6,3.040525,0.027641666666666665,220.16075,1,0.002427,0.000602,1.0
