task_id,model_tag,layer,head,seq_len,intervention_type,band_width,plr_rank,target_group,selection_rank,source_erank,source_diag_conc,source_mean_dist,intervention_fired,kl_div,js_div,top10_overlap
TR01,qwen3_8b,35,24,484,plr,5,4,high_complex_global,1,133.98024166666667,0.24324166666666666,120.08909166666666,1,7.1e-05,1.7e-05,1.0
TR01,qwen3_8b,10,21,484,plr,5,4,high_complex_global,2,245.31154166666667,0.3555166666666667,80.43694166666667,1,0.002367,0.000594,0.9
TR01,qwen3_8b,10,28,484,plr,5,4,high_complex_global,3,187.74440833333333,0.2881,96.37383333333334,1,0.005303,0.001288,0.9
TR01,qwen3_8b,7,11,484,plr,5,4,high_complex_global,4,156.45879166666666,0.274425,106.92231666666667,1,0.004325,0.001056,1.0
TR01,qwen3_8b,11,1,484,plr,5,4,high_complex_global,5,179.31461666666667,0.2582666666666667,90.15249999999999,1,0.004002,0.00098,1.0
TR01,qwen3_8b,24,24,484,plr,5,4,high_complex_global,6,197.04217500000001,0.28646666666666665,83.71994166666667,1,6.5e-05,1.6e-05,1.0
TR01,qwen3_8b,12,25,484,plr,5,4,local_band,1,312.42988333333335,0.9706666666666667,2.1846583333333336,1,0.050234,0.011786,0.8
TR01,qwen3_8b,1,4,484,plr,5,4,local_band,2,295.31876666666665,0.9724416666666666,2.5935166666666665,1,0.00446,0.001077,1.0
TR01,qwen3_8b,0,1,484,plr,5,4,local_band,3,299.2618166666667,0.9419916666666667,4.321808333333333,1,0.18217,0.036425,0.9
TR01,qwen3_8b,1,7,484,plr,5,4,local_band,4,216.56581666666668,0.9095166666666666,6.7790333333333335,1,0.009608,0.00234,0.9
TR01,qwen3_8b,0,15,484,plr,5,4,local_band,5,275.8919333333333,0.8991666666666666,5.394175000000001,1,0.006726,0.0016,0.9
TR01,qwen3_8b,16,27,484,plr,5,4,local_band,6,311.0004833333333,0.9144833333333334,9.318125,1,0.037809,0.009154,0.9
TR01,qwen3_8b,13,12,484,plr,5,4,low_rank_diffuse,1,1.0086083333333333,0.022675,156.03235,1,0.010047,0.002456,1.0
TR01,qwen3_8b,7,6,484,plr,5,4,low_rank_diffuse,2,1.586575,0.0234,154.88856666666666,1,0.004388,0.001079,0.9
TR01,qwen3_8b,7,4,484,plr,5,4,low_rank_diffuse,3,2.36105,0.028991666666666666,155.08359166666665,1,0.005808,0.001415,1.0
TR01,qwen3_8b,9,30,484,plr,5,4,low_rank_diffuse,4,1.7939666666666667,0.026591666666666666,153.53786666666667,1,0.005761,0.00142,1.0
TR01,qwen3_8b,9,8,484,plr,5,4,low_rank_diffuse,5,2.4780666666666664,0.025316666666666668,153.0492,1,0.004405,0.001035,1.0
TR01,qwen3_8b,9,28,484,plr,5,4,low_rank_diffuse,6,3.034283333333333,0.03038333333333333,152.54668333333333,1,0.003924,0.000961,1.0
TR08,qwen3_8b,35,24,574,plr,5,4,high_complex_global,1,133.98024166666667,0.24324166666666666,120.08909166666666,1,6.5e-05,1.6e-05,1.0
