model_tag,target_group,selection_rank,layer,head,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist,score_high_complex_global,score_local_band,score_low_rank_diffuse,seq_len,source_file
gemma3_4b,high_complex_global,1,31,6,163.377675,1.130625,0.8910333333333332,0.9007583333333334,0.23118333333333332,104.66947499999999,1.4428579179329852,-0.6524526770709635,-0.1379525637910582,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,high_complex_global,2,31,4,166.81984166666666,1.1676333333333333,0.8570583333333333,0.8690333333333333,0.2603166666666667,107.97698333333334,1.4248766832984159,-0.5819543386532894,-0.2609680059918372,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,high_complex_global,3,33,3,156.20923333333334,1.1220083333333333,0.8914166666666666,0.9118750000000001,0.2540833333333333,111.4472,1.404255690685696,-0.7232192955036633,0.042182900321630676,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,high_complex_global,4,31,2,165.7208,1.1455833333333334,0.8737750000000001,0.8887999999999999,0.26074166666666665,107.34972499999999,1.3866783598264207,-0.5605240833370945,-0.26563019315223196,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,high_complex_global,5,11,2,191.54863333333333,1.6111833333333332,0.6231666666666666,0.6910166666666666,0.286,87.91341666666666,1.0459863732882055,0.17422290837985818,-1.3944321900479217,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,high_complex_global,6,22,4,249.31613333333334,1.6861249999999999,0.5971833333333333,0.6320833333333333,0.361925,73.03223333333334,1.0338378684856198,1.067729606023347,-3.1692970805323144,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,local_band,1,33,7,328.76526666666666,110.22444166666666,0.009158333333333333,0.024966666666666668,0.9591500000000001,6.460825,-3.2575997975810886,6.5713219365197535,-9.885044075458417,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,local_band,2,0,4,262.1035083333333,56.28069166666666,0.020908333333333334,0.07445,0.9341166666666667,2.79265,-4.239031863152951,6.535696195257952,-8.832360527362953,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,local_band,3,4,6,319.10356666666667,98.5776,0.012150000000000001,0.040825,0.909725,7.868941666666667,-3.073407919846726,6.239721594652947,-9.406035269459167,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,local_band,4,14,7,320.0781,25.89130833333333,0.03884166666666667,0.0694,0.7155333333333332,25.103058333333333,-1.4022624241878947,4.583444544703726,-7.764626665219557,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,local_band,5,4,5,178.50811666666667,4.0025249999999994,0.25760833333333333,0.331025,0.6897000000000001,29.030616666666663,-3.292482046339897,4.313732290434151,-5.334982534528406,330.6666666666667,spectral_gemma3_4b.csv
gemma3_4b,local_band,6,33,5,255.63200833333335,7.134116666666667,0.20291666666666666,0.253575,0.6615583333333334,37.3009,-1.7014308864779406,3.8993596052195474,-6.097288323961154,330.6666666666667,spectral_gemma3_4b.csv
