task_id,domain,model_tag,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist
TR01,travel,gemma3_4b,0,0,509,131.8086,1.3834,0.7228,0.7767,0.1289,88.4241
TR01,travel,gemma3_4b,0,1,509,252.0467,4.5677,0.2189,0.2698,0.2656,73.2616
TR01,travel,gemma3_4b,0,2,509,235.1035,2.7179,0.3679,0.436,0.289,45.0106
TR01,travel,gemma3_4b,0,3,509,98.4579,1.8419,0.5429,0.7344,0.0891,89.2456
TR01,travel,gemma3_4b,0,4,509,385.6151,82.2539,0.0122,0.0488,0.9277,3.2701
TR01,travel,gemma3_4b,0,5,509,201.5453,8.1195,0.1232,0.28,0.2561,42.3223
TR01,travel,gemma3_4b,0,6,509,342.6642,3.7195,0.2689,0.2831,0.5549,92.0896
TR01,travel,gemma3_4b,0,7,509,252.1163,2.1157,0.4727,0.4992,0.4238,117.0847
TR01,travel,gemma3_4b,1,0,509,202.091,1.4733,0.6788,0.6918,0.3221,163.3286
TR01,travel,gemma3_4b,1,1,509,205.7258,1.575,0.6349,0.6533,0.3574,148.9696
TR01,travel,gemma3_4b,1,2,509,170.32,1.9104,0.5234,0.7086,0.1606,88.8477
TR01,travel,gemma3_4b,1,3,509,68.3241,1.0956,0.9127,0.9616,0.0801,119.2843
TR01,travel,gemma3_4b,1,4,509,265.6224,4.98,0.2008,0.2716,0.4188,52.7836
TR01,travel,gemma3_4b,1,5,509,98.2882,1.1614,0.861,0.8902,0.0299,163.6292
TR01,travel,gemma3_4b,1,6,509,65.9341,1.0733,0.9317,0.953,0.0994,152.0492
TR01,travel,gemma3_4b,1,7,509,83.5491,1.0962,0.9122,0.9255,0.1259,176.8595
TR01,travel,gemma3_4b,2,0,509,103.9259,1.1258,0.8883,0.9051,0.1849,200.5807
TR01,travel,gemma3_4b,2,1,509,187.3747,1.7986,0.556,0.6133,0.3645,120.8185
TR01,travel,gemma3_4b,2,2,509,366.1771,2.8921,0.3458,0.3664,0.6291,89.9842
TR01,travel,gemma3_4b,2,3,509,289.5168,1.8478,0.5412,0.571,0.5197,108.128
TR01,travel,gemma3_4b,2,4,509,342.9145,2.2178,0.4509,0.491,0.3097,91.2605
TR01,travel,gemma3_4b,2,5,509,267.9828,2.6482,0.3776,0.4117,0.4955,99.9293
TR01,travel,gemma3_4b,2,6,509,191.6999,5.6527,0.1769,0.2788,0.4953,18.6565
TR01,travel,gemma3_4b,2,7,509,194.2502,1.4339,0.6974,0.7386,0.1049,82.8068
TR01,travel,gemma3_4b,3,0,509,166.3812,1.4746,0.6782,0.7399,0.342,137.8825
TR01,travel,gemma3_4b,3,1,509,164.2271,1.2428,0.8047,0.8271,0.2512,127.6197
TR01,travel,gemma3_4b,3,2,509,161.747,1.2541,0.7974,0.8188,0.3175,141.5774
TR01,travel,gemma3_4b,3,3,509,256.4523,3.0074,0.3325,0.3755,0.5594,90.417
TR01,travel,gemma3_4b,3,4,509,220.7098,1.5859,0.6306,0.6564,0.4495,106.7827
TR01,travel,gemma3_4b,3,5,509,264.2992,1.7698,0.565,0.6058,0.3695,86.1481
TR01,travel,gemma3_4b,3,6,509,148.0575,1.9284,0.5186,0.5915,0.2906,84.1072
TR01,travel,gemma3_4b,3,7,509,222.0477,1.7189,0.5818,0.6286,0.3811,125.3047
TR01,travel,gemma3_4b,4,0,509,182.6167,1.6567,0.6036,0.7157,0.1834,74.5644
TR01,travel,gemma3_4b,4,1,509,187.8189,4.4118,0.2267,0.4848,0.2968,53.6887
TR01,travel,gemma3_4b,4,2,509,146.192,1.2637,0.7913,0.8157,0.041,145.9121
TR01,travel,gemma3_4b,4,3,509,247.9961,1.5721,0.6361,0.6658,0.3271,88.1537
TR01,travel,gemma3_4b,4,4,509,144.4076,3.3395,0.2994,0.4508,0.3019,33.3141
TR01,travel,gemma3_4b,4,5,509,279.1007,4.8975,0.2042,0.2591,0.6961,41.5818
TR01,travel,gemma3_4b,4,6,509,491.4478,155.8094,0.0064,0.0225,0.9121,10.118
TR01,travel,gemma3_4b,4,7,509,90.1294,1.7492,0.5717,0.8523,0.0687,98.4692
TR01,travel,gemma3_4b,5,0,509,188.4304,1.2568,0.7957,0.816,0.1368,140.2698
TR01,travel,gemma3_4b,5,1,509,65.1676,1.0461,0.956,0.9649,0.0452,208.5322
TR01,travel,gemma3_4b,5,2,509,56.1541,1.0476,0.9545,0.9643,0.0489,217.3688
TR01,travel,gemma3_4b,5,3,509,84.8531,1.0959,0.9125,0.9303,0.0309,198.9394
TR01,travel,gemma3_4b,5,4,509,237.7641,2.3694,0.422,0.4906,0.4697,80.3851
