task_id,domain,model_tag,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist
TR01,travel,ministral8b,0,0,667,13.4473,1.0048,0.9952,0.998,0.0356,236.1409
TR01,travel,ministral8b,0,1,667,10.8626,1.0059,0.9942,0.9981,0.0315,235.6328
TR01,travel,ministral8b,0,2,667,13.5342,1.0081,0.9919,0.9967,0.0335,230.3448
TR01,travel,ministral8b,0,3,667,56.8305,1.0604,0.9431,0.9545,0.0811,228.1264
TR01,travel,ministral8b,0,4,667,83.3899,1.0422,0.9595,0.9731,0.1043,195.8352
TR01,travel,ministral8b,0,5,667,51.2472,1.0236,0.977,0.9877,0.0781,208.2991
TR01,travel,ministral8b,0,6,667,71.8183,1.0395,0.962,0.9737,0.1018,196.5632
TR01,travel,ministral8b,0,7,667,36.8065,1.0188,0.9815,0.9891,0.0647,213.6914
TR01,travel,ministral8b,0,8,667,391.1149,9.8779,0.1012,0.1384,0.6989,42.6779
TR01,travel,ministral8b,0,9,667,223.8142,1.7376,0.5755,0.6648,0.1926,68.7638
TR01,travel,ministral8b,0,10,667,577.1809,28.1237,0.0356,0.0507,0.8343,35.9518
TR01,travel,ministral8b,0,11,667,337.3897,1.4565,0.6866,0.705,0.3334,118.6619
TR01,travel,ministral8b,0,12,667,55.8176,1.0216,0.9789,0.9818,0.091,244.1382
TR01,travel,ministral8b,0,13,667,4.3555,1.0012,0.9988,0.9994,0.0207,280.1157
TR01,travel,ministral8b,0,14,667,7.26,1.0007,0.9993,0.9997,0.027,278.2944
TR01,travel,ministral8b,0,15,667,18.0793,1.0027,0.9973,0.9983,0.0513,238.5292
TR01,travel,ministral8b,0,16,667,20.1527,1.0131,0.987,0.9955,0.0409,248.7959
TR01,travel,ministral8b,0,17,667,210.69,1.3025,0.7678,0.7846,0.2431,172.8063
TR01,travel,ministral8b,0,18,667,127.5935,1.0571,0.946,0.9734,0.1306,203.1326
TR01,travel,ministral8b,0,19,667,44.1302,1.023,0.9775,0.9932,0.0697,226.2103
TR01,travel,ministral8b,0,20,667,185.2748,1.3369,0.748,0.8339,0.1227,116.2874
TR01,travel,ministral8b,0,21,667,166.7793,2.4673,0.4053,0.5649,0.151,112.7123
TR01,travel,ministral8b,0,22,667,132.3659,1.4646,0.6828,0.8484,0.0864,135.6587
TR01,travel,ministral8b,0,23,667,146.2688,1.2031,0.8312,0.8885,0.1014,109.7327
TR01,travel,ministral8b,0,24,667,59.583,1.0433,0.9585,0.9701,0.0824,198.0357
TR01,travel,ministral8b,0,25,667,39.0911,1.0117,0.9884,0.9932,0.0603,215.1597
TR01,travel,ministral8b,0,26,667,81.3495,1.0625,0.9412,0.9578,0.1057,204.9305
TR01,travel,ministral8b,0,27,667,48.7938,1.0149,0.9853,0.9906,0.0704,209.5046
TR01,travel,ministral8b,0,28,667,144.953,1.7472,0.5723,0.8085,0.0818,140.6595
TR01,travel,ministral8b,0,29,667,171.1446,1.3849,0.7221,0.8661,0.0971,119.0736
TR01,travel,ministral8b,0,30,667,129.0807,1.4545,0.6875,0.8646,0.0786,138.6872
TR01,travel,ministral8b,0,31,667,75.4826,1.3829,0.7231,0.9352,0.0574,165.3075
TR01,travel,ministral8b,1,0,667,204.2669,1.1009,0.9084,0.9415,0.1556,269.097
TR01,travel,ministral8b,1,1,667,177.1471,1.1262,0.8879,0.9301,0.1601,275.2384
TR01,travel,ministral8b,1,2,667,175.7028,1.0401,0.9614,0.9859,0.1048,279.9687
TR01,travel,ministral8b,1,3,667,167.6519,1.0957,0.9126,0.9486,0.1304,287.499
TR01,travel,ministral8b,1,4,667,95.2042,1.0681,0.9363,0.9755,0.0657,240.6848
TR01,travel,ministral8b,1,5,667,42.2358,1.067,0.9372,0.9774,0.0214,298.3139
TR01,travel,ministral8b,1,6,667,152.7966,1.1817,0.8463,0.8825,0.0231,230.7321
TR01,travel,ministral8b,1,7,667,142.755,1.0821,0.9241,0.9449,0.0868,259.3057
TR01,travel,ministral8b,1,8,667,75.9811,1.0464,0.9556,0.9847,0.1073,276.9554
TR01,travel,ministral8b,1,9,667,12.9463,1.0399,0.9616,0.9992,0.0352,298.1514
TR01,travel,ministral8b,1,10,667,83.2187,1.0361,0.9652,0.9853,0.1033,290.6221
TR01,travel,ministral8b,1,11,667,40.3719,1.0282,0.9726,0.9951,0.0634,298.8609
TR01,travel,ministral8b,1,12,667,126.3339,1.0845,0.9221,0.9569,0.1396,274.4312
TR01,travel,ministral8b,1,13,667,248.2565,1.1328,0.8828,0.9094,0.1847,261.6952
TR01,travel,ministral8b,1,14,667,217.4032,1.0616,0.9419,0.9624,0.151,272.953
TR01,travel,ministral8b,1,15,667,134.0965,1.0621,0.9416,0.9674,0.117,290.9812
TR01,travel,ministral8b,1,16,667,70.4273,1.0551,0.9478,0.9738,0.0918,278.6402
TR01,travel,ministral8b,1,17,667,55.1337,1.0461,0.9559,0.9836,0.0881,292.9976
TR01,travel,ministral8b,1,18,667,202.9247,1.0828,0.9236,0.9464,0.2298,249.6546
TR01,travel,ministral8b,1,19,667,244.0613,1.0755,0.9298,0.9528,0.1722,271.7898
TR01,travel,ministral8b,1,20,667,37.3615,1.029,0.9719,0.9949,0.0668,264.4179
TR01,travel,ministral8b,1,21,667,68.6675,1.0797,0.9262,0.9582,0.11,259.8515
TR01,travel,ministral8b,1,22,667,147.5417,1.1042,0.9056,0.9336,0.1724,262.8838
TR01,travel,ministral8b,1,23,667,58.4701,1.0446,0.9573,0.9832,0.0781,259.7858
TR01,travel,ministral8b,1,24,667,35.9909,1.0423,0.9594,0.994,0.0528,221.8308
TR01,travel,ministral8b,1,25,667,7.2256,1.0315,0.9695,0.9989,0.0254,277.5695
TR01,travel,ministral8b,1,26,667,96.3692,1.053,0.9497,0.9764,0.1237,224.6118
TR01,travel,ministral8b,1,27,667,85.9238,1.0784,0.9273,0.961,0.1483,205.1948
TR01,travel,ministral8b,1,28,667,38.8905,1.0393,0.9622,0.9933,0.0516,240.994
TR01,travel,ministral8b,1,29,667,22.5753,1.0311,0.9698,0.9973,0.0451,251.9089
TR01,travel,ministral8b,1,30,667,147.6403,1.0926,0.9152,0.9446,0.157,254.5404
TR01,travel,ministral8b,1,31,667,103.7287,1.0363,0.965,0.9869,0.1007,284.3324
TR01,travel,ministral8b,2,0,667,24.0353,1.033,0.9681,0.9983,0.04,274.3797
TR01,travel,ministral8b,2,1,667,38.6608,1.0607,0.9428,0.9915,0.0547,237.3395
TR01,travel,ministral8b,2,2,667,59.4917,1.05,0.9524,0.9885,0.0873,262.5148
TR01,travel,ministral8b,2,3,667,17.0393,1.0401,0.9614,0.9974,0.0383,246.1925
TR01,travel,ministral8b,2,4,667,40.8098,1.0367,0.9646,0.9929,0.0836,290.7334
TR01,travel,ministral8b,2,5,667,120.1125,1.0746,0.9306,0.9548,0.1792,257.9639
TR01,travel,ministral8b,2,6,667,205.401,1.1161,0.8959,0.9224,0.2036,258.4288
TR01,travel,ministral8b,2,7,667,154.3914,1.0501,0.9523,0.9723,0.1332,284.8375
TR01,travel,ministral8b,2,8,667,23.2852,1.0358,0.9654,0.9933,0.0608,250.4088
TR01,travel,ministral8b,2,9,667,158.32,1.0711,0.9336,0.9582,0.2174,242.0315
TR01,travel,ministral8b,2,10,667,395.3635,1.1307,0.8844,0.9118,0.2268,254.6032
TR01,travel,ministral8b,2,11,667,31.6323,1.0314,0.9696,0.9983,0.0432,281.6248
TR01,travel,ministral8b,2,12,667,83.9659,1.0528,0.9499,0.973,0.1263,273.99
TR01,travel,ministral8b,2,13,667,158.4592,1.0715,0.9333,0.9561,0.1961,253.9816
TR01,travel,ministral8b,2,14,667,114.875,1.0836,0.9229,0.9514,0.1598,236.6634
TR01,travel,ministral8b,2,15,667,113.1908,1.1192,0.8935,0.927,0.1772,216.9932
TR01,travel,ministral8b,2,16,667,10.3474,1.0239,0.9767,0.9987,0.0316,260.9357
TR01,travel,ministral8b,2,17,667,49.0935,1.0677,0.9366,0.9757,0.0768,213.3457
