task_id,domain,model_tag,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist
TR01,travel,qwen3_8b,0,0,484,156.7993,4.8323,0.2069,0.5055,0.1916,50.9976
TR01,travel,qwen3_8b,0,1,484,461.1163,150.8197,0.0066,0.0249,0.9414,5.2882
TR01,travel,qwen3_8b,0,2,484,386.5999,92.927,0.0108,0.0389,0.7253,25.5759
TR01,travel,qwen3_8b,0,3,484,223.4587,8.0125,0.1248,0.3371,0.2239,57.3777
TR01,travel,qwen3_8b,0,4,484,295.1493,35.4184,0.0282,0.1024,0.5424,19.0967
TR01,travel,qwen3_8b,0,5,484,269.6593,79.2191,0.0126,0.0583,0.5018,48.0178
TR01,travel,qwen3_8b,0,6,484,279.2629,36.3695,0.0275,0.106,0.5939,12.6859
TR01,travel,qwen3_8b,0,7,484,291.6729,32.9806,0.0303,0.1041,0.5811,16.1321
TR01,travel,qwen3_8b,0,8,484,305.415,83.1667,0.012,0.0556,0.6848,28.1042
TR01,travel,qwen3_8b,0,9,484,378.8128,152.8348,0.0065,0.0315,0.7934,11.3698
TR01,travel,qwen3_8b,0,10,484,281.549,51.1125,0.0196,0.0828,0.6606,11.3282
TR01,travel,qwen3_8b,0,11,484,285.9875,43.5059,0.023,0.0912,0.5926,14.3644
TR01,travel,qwen3_8b,0,12,484,251.4628,15.2645,0.0655,0.1419,0.566,22.4444
TR01,travel,qwen3_8b,0,13,484,242.2423,23.3203,0.0429,0.1611,0.3342,40.7545
TR01,travel,qwen3_8b,0,14,484,260.854,23.9819,0.0417,0.1537,0.3369,33.6844
TR01,travel,qwen3_8b,0,15,484,394.9792,154.6443,0.0065,0.0306,0.8014,11.815
TR01,travel,qwen3_8b,0,16,484,284.0045,36.3165,0.0275,0.1218,0.5482,23.6482
TR01,travel,qwen3_8b,0,17,484,273.5807,25.4434,0.0393,0.1361,0.514,26.6776
TR01,travel,qwen3_8b,0,18,484,325.9931,84.1253,0.0119,0.0448,0.6577,27.2342
TR01,travel,qwen3_8b,0,19,484,290.1332,37.2188,0.0269,0.1072,0.5793,20.1151
TR01,travel,qwen3_8b,0,20,484,301.8833,25.4047,0.0394,0.1114,0.5543,26.659
TR01,travel,qwen3_8b,0,21,484,283.6771,31.1362,0.0321,0.0732,0.6346,23.9479
TR01,travel,qwen3_8b,0,22,484,431.1921,185.2805,0.0054,0.0259,0.8712,10.5368
TR01,travel,qwen3_8b,0,23,484,286.7667,18.0982,0.0553,0.1315,0.5446,25.1386
TR01,travel,qwen3_8b,0,24,484,361.3858,77.3131,0.0129,0.0479,0.8833,5.4023
TR01,travel,qwen3_8b,0,25,484,130.6408,5.3517,0.1869,0.292,0.1946,97.0311
TR01,travel,qwen3_8b,0,26,484,372.8289,47.8788,0.0209,0.0607,0.7021,20.7408
TR01,travel,qwen3_8b,0,27,484,153.1506,5.7176,0.1749,0.5044,0.1722,54.0029
TR01,travel,qwen3_8b,0,28,484,328.071,105.3371,0.0095,0.0383,0.6536,20.2844
TR01,travel,qwen3_8b,0,29,484,204.238,14.6176,0.0684,0.1789,0.2761,64.6372
TR01,travel,qwen3_8b,0,30,484,289.599,29.5172,0.0339,0.1217,0.5504,22.4987
TR01,travel,qwen3_8b,0,31,484,308.114,37.4552,0.0267,0.1057,0.5597,22.5836
TR01,travel,qwen3_8b,1,0,484,203.9448,18.4675,0.0541,0.182,0.4761,32.6556
TR01,travel,qwen3_8b,1,1,484,175.774,5.6596,0.1767,0.351,0.2931,71.4511
TR01,travel,qwen3_8b,1,2,484,265.6658,24.3301,0.0411,0.1171,0.5766,36.8087
TR01,travel,qwen3_8b,1,3,484,189.8737,8.0804,0.1238,0.2966,0.3295,59.1412
TR01,travel,qwen3_8b,1,4,484,456.6229,172.6052,0.0058,0.0224,0.9687,3.4864
TR01,travel,qwen3_8b,1,5,484,256.1206,50.2005,0.0199,0.0817,0.7309,14.6585
TR01,travel,qwen3_8b,1,6,484,201.9527,8.2216,0.1216,0.2183,0.3561,69.0892
TR01,travel,qwen3_8b,1,7,484,342.238,73.9567,0.0135,0.0507,0.9188,8.383
TR01,travel,qwen3_8b,1,8,484,160.5846,5.7213,0.1748,0.3261,0.3206,62.6328
TR01,travel,qwen3_8b,1,9,484,193.1021,6.2082,0.1611,0.3789,0.3201,43.7282
TR01,travel,qwen3_8b,1,10,484,72.6455,2.9519,0.3388,0.7294,0.079,98.3295
TR01,travel,qwen3_8b,1,11,484,118.7308,16.6434,0.0601,0.2351,0.2288,77.1351
TR01,travel,qwen3_8b,1,12,484,261.8131,13.2223,0.0756,0.1743,0.4467,53.1494
TR01,travel,qwen3_8b,1,13,484,170.1362,7.2862,0.1372,0.2867,0.3367,64.7792
TR01,travel,qwen3_8b,1,14,484,180.5385,4.879,0.205,0.456,0.165,75.9196
TR01,travel,qwen3_8b,1,15,484,332.7772,34.7139,0.0288,0.0743,0.6306,35.8701
TR01,travel,qwen3_8b,1,16,484,311.9548,8.1222,0.1231,0.313,0.3376,64.5601
TR01,travel,qwen3_8b,1,17,484,133.0816,4.1005,0.2439,0.6086,0.1196,113.7659
TR01,travel,qwen3_8b,1,18,484,98.5217,3.3702,0.2967,0.6951,0.1082,92.1229
TR01,travel,qwen3_8b,1,19,484,272.813,14.2602,0.0701,0.1822,0.3586,50.2696
TR01,travel,qwen3_8b,1,20,484,134.1699,5.1176,0.1954,0.4753,0.1079,75.347
TR01,travel,qwen3_8b,1,21,484,124.2163,7.7107,0.1297,0.3694,0.3194,27.9535
TR01,travel,qwen3_8b,1,22,484,194.3257,13.0765,0.0765,0.277,0.1839,51.9997
TR01,travel,qwen3_8b,1,23,484,160.8904,10.1122,0.0989,0.3178,0.2335,50.2538
TR01,travel,qwen3_8b,1,24,484,88.1879,5.4752,0.1826,0.5389,0.0824,41.431
TR01,travel,qwen3_8b,1,25,484,179.5461,17.6766,0.0566,0.1757,0.4774,10.9198
TR01,travel,qwen3_8b,1,26,484,175.8649,6.7645,0.1478,0.2885,0.3637,58.8838
TR01,travel,qwen3_8b,1,27,484,163.8803,3.8896,0.2571,0.4881,0.1804,76.1202
TR01,travel,qwen3_8b,1,28,484,112.8725,2.3516,0.4253,0.6624,0.0684,139.7047
TR01,travel,qwen3_8b,1,29,484,367.8593,14.4666,0.0691,0.1733,0.4476,52.4543
TR01,travel,qwen3_8b,1,30,484,224.7849,19.9519,0.0501,0.1668,0.432,59.5213
TR01,travel,qwen3_8b,1,31,484,194.6912,7.3724,0.1356,0.3117,0.1056,57.3199
TR01,travel,qwen3_8b,2,0,484,93.492,1.8571,0.5385,0.7601,0.1105,110.0079
TR01,travel,qwen3_8b,2,1,484,94.283,2.0603,0.4854,0.6993,0.1073,111.4185
TR01,travel,qwen3_8b,2,2,484,64.4078,1.7391,0.575,0.8714,0.1041,124.459
TR01,travel,qwen3_8b,2,3,484,126.5028,3.215,0.311,0.6977,0.1495,89.893
TR01,travel,qwen3_8b,2,4,484,108.8735,9.1653,0.1091,0.3442,0.3023,33.8288
TR01,travel,qwen3_8b,2,5,484,257.2985,8.0288,0.1246,0.2604,0.198,52.3334
TR01,travel,qwen3_8b,2,6,484,205.7264,2.7142,0.3684,0.522,0.3115,62.8217
TR01,travel,qwen3_8b,2,7,484,182.3541,2.3121,0.4325,0.5868,0.2844,81.045
TR01,travel,qwen3_8b,2,8,484,250.7941,5.3411,0.1872,0.3561,0.3153,71.521
TR01,travel,qwen3_8b,2,9,484,145.9238,2.0353,0.4913,0.6614,0.1933,81.7115
TR01,travel,qwen3_8b,2,10,484,110.8551,2.5287,0.3955,0.6601,0.1424,90.7401
TR01,travel,qwen3_8b,2,11,484,77.4213,4.2323,0.2363,0.6454,0.1023,70.278
TR01,travel,qwen3_8b,2,12,484,126.2881,4.8783,0.205,0.5427,0.1727,69.9665
TR01,travel,qwen3_8b,2,13,484,169.3876,5.4291,0.1842,0.3504,0.2429,64.4172
TR01,travel,qwen3_8b,2,14,484,199.609,3.1373,0.3187,0.5884,0.1991,79.8982
TR01,travel,qwen3_8b,2,15,484,106.3293,1.8606,0.5375,0.8254,0.0712,98.0121
TR01,travel,qwen3_8b,2,16,484,102.6271,2.708,0.3693,0.725,0.1056,113.3765
TR01,travel,qwen3_8b,2,17,484,175.277,4.4802,0.2232,0.4511,0.2294,83.4667
TR01,travel,qwen3_8b,2,18,484,266.4999,6.3105,0.1585,0.2945,0.2968,81.917
TR01,travel,qwen3_8b,2,19,484,176.7845,2.8204,0.3546,0.5136,0.2779,86.97
TR01,travel,qwen3_8b,2,20,484,187.7503,3.1663,0.3158,0.4319,0.3048,103.98
TR01,travel,qwen3_8b,2,21,484,115.9358,1.9446,0.5142,0.7268,0.0954,115.9344
TR01,travel,qwen3_8b,2,22,484,175.5923,3.9068,0.256,0.3746,0.3465,92.3479
TR01,travel,qwen3_8b,2,23,484,228.9104,3.6912,0.2709,0.3776,0.3838,94.6416
TR01,travel,qwen3_8b,2,24,484,295.3485,22.6668,0.0441,0.1435,0.5765,44.4679
TR01,travel,qwen3_8b,2,25,484,262.0298,25.7831,0.0388,0.151,0.5294,34.4119
TR01,travel,qwen3_8b,2,26,484,239.835,26.2492,0.0381,0.1392,0.5444,36.647
TR01,travel,qwen3_8b,2,27,484,272.4806,24.2251,0.0413,0.1392,0.5671,42.2033
TR01,travel,qwen3_8b,2,28,484,198.13,2.2083,0.4528,0.6402,0.113,120.7888
TR01,travel,qwen3_8b,2,29,484,45.1429,1.4324,0.6981,0.9716,0.0473,125.2139
TR01,travel,qwen3_8b,2,30,484,24.8469,1.3643,0.733,0.9808,0.0394,164.999
TR01,travel,qwen3_8b,2,31,484,161.2049,2.0086,0.4979,0.6568,0.0919,128.342
TR01,travel,qwen3_8b,3,0,484,67.8103,2.1875,0.4571,0.8652,0.0846,114.9502
