model_tag,method,rows,frob_mean,frob_median,kl_mean,kl_median
gemma3_4b,banded,13056,1.20588,1.17982,17.839326,18.430368
gemma3_4b,lowrank,13056,0.475644,0.47383,1.11977,0.977464
gemma3_4b,monarch,9792,0.879698,0.887971,11.684899,11.307629
gemma3_4b,sparse_topk,13056,0.068799,0.032592,1.080967,0.459883
ministral8b,banded,55296,1.289031,1.251994,21.361839,22.245262
ministral8b,lowrank,55296,0.278963,0.236082,0.657096,0.513008
ministral8b,monarch,41472,0.933872,0.957088,14.517021,14.40968
ministral8b,sparse_topk,55296,0.056145,0.026791,0.865252,0.361979
qwen3_8b,banded,55296,1.200256,1.18271,19.358659,20.441061
qwen3_8b,lowrank,55296,0.388934,0.33547,0.893686,0.679266
qwen3_8b,monarch,41472,0.892145,0.93374,12.968704,12.704709
qwen3_8b,sparse_topk,55296,0.061732,0.028554,1.00504,0.409657
