model_tag,classifier,feature,importance
ALL,decision_tree_depth4,erank,0.00572
ALL,decision_tree_depth4,stable_rank,0.007884
ALL,decision_tree_depth4,energy_top1,0.0
ALL,decision_tree_depth4,energy_top5,0.894667
ALL,decision_tree_depth4,diag_conc,0.02712
ALL,decision_tree_depth4,mean_dist,0.043747
ALL,decision_tree_depth4,seq_len,0.020863
ALL,random_forest_depth6,erank,0.066125
ALL,random_forest_depth6,stable_rank,0.170747
ALL,random_forest_depth6,energy_top1,0.165379
ALL,random_forest_depth6,energy_top5,0.218744
ALL,random_forest_depth6,diag_conc,0.074061
ALL,random_forest_depth6,mean_dist,0.296001
ALL,random_forest_depth6,seq_len,0.008943
gemma3_4b,decision_tree_depth4,erank,0.049596
gemma3_4b,decision_tree_depth4,stable_rank,0.030014
gemma3_4b,decision_tree_depth4,energy_top1,0.0
gemma3_4b,decision_tree_depth4,energy_top5,0.804556
gemma3_4b,decision_tree_depth4,diag_conc,0.057983
gemma3_4b,decision_tree_depth4,mean_dist,0.057852
gemma3_4b,decision_tree_depth4,seq_len,0.0
gemma3_4b,random_forest_depth6,erank,0.073692
gemma3_4b,random_forest_depth6,stable_rank,0.170802
gemma3_4b,random_forest_depth6,energy_top1,0.16498
gemma3_4b,random_forest_depth6,energy_top5,0.226507
gemma3_4b,random_forest_depth6,diag_conc,0.09112
gemma3_4b,random_forest_depth6,mean_dist,0.258788
gemma3_4b,random_forest_depth6,seq_len,0.014111
ministral8b,decision_tree_depth4,erank,0.0
ministral8b,decision_tree_depth4,stable_rank,0.014175
ministral8b,decision_tree_depth4,energy_top1,0.0
ministral8b,decision_tree_depth4,energy_top5,0.939284
ministral8b,decision_tree_depth4,diag_conc,0.026082
ministral8b,decision_tree_depth4,mean_dist,0.015558
ministral8b,decision_tree_depth4,seq_len,0.004901
ministral8b,random_forest_depth6,erank,0.100863
ministral8b,random_forest_depth6,stable_rank,0.255439
ministral8b,random_forest_depth6,energy_top1,0.226571
ministral8b,random_forest_depth6,energy_top5,0.271394
ministral8b,random_forest_depth6,diag_conc,0.111973
ministral8b,random_forest_depth6,mean_dist,0.029077
ministral8b,random_forest_depth6,seq_len,0.004683
qwen3_8b,decision_tree_depth4,erank,0.047749
qwen3_8b,decision_tree_depth4,stable_rank,0.0
qwen3_8b,decision_tree_depth4,energy_top1,0.0
qwen3_8b,decision_tree_depth4,energy_top5,0.861604
qwen3_8b,decision_tree_depth4,diag_conc,0.015336
qwen3_8b,decision_tree_depth4,mean_dist,0.075312
qwen3_8b,decision_tree_depth4,seq_len,0.0
qwen3_8b,random_forest_depth6,erank,0.071341
qwen3_8b,random_forest_depth6,stable_rank,0.163703
qwen3_8b,random_forest_depth6,energy_top1,0.162186
qwen3_8b,random_forest_depth6,energy_top5,0.223832
qwen3_8b,random_forest_depth6,diag_conc,0.075963
qwen3_8b,random_forest_depth6,mean_dist,0.296812
qwen3_8b,random_forest_depth6,seq_len,0.006163
