model_tag,task_id,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist,domain,best_non_sparse_method,best_non_sparse_param,best_non_sparse_frob_rel,best_non_sparse_kl_mean,group_id
gemma3_4b,TR01,0,0,509,131.8086,1.3834,0.7228,0.7767,0.1289,88.4241,travel,monarch,2,0.308345,4.490648,gemma3_4b::TR01::0
gemma3_4b,TR01,0,1,509,252.0467,4.5677,0.2189,0.2698,0.2656,73.2616,travel,monarch,2,0.333358,4.233866,gemma3_4b::TR01::0
gemma3_4b,TR01,0,2,509,235.1035,2.7179,0.3679,0.436,0.289,45.0106,travel,monarch,2,0.289308,2.135646,gemma3_4b::TR01::0
gemma3_4b,TR01,0,3,509,98.4579,1.8419,0.5429,0.7344,0.0891,89.2456,travel,lowrank,16,0.239306,0.332436,gemma3_4b::TR01::0
gemma3_4b,TR01,0,4,509,385.6151,82.2539,0.0122,0.0488,0.9277,3.2701,travel,monarch,2,0.084051,0.138402,gemma3_4b::TR01::0
gemma3_4b,TR01,0,5,509,201.5453,8.1195,0.1232,0.28,0.2561,42.3223,travel,monarch,2,0.405962,2.903428,gemma3_4b::TR01::0
gemma3_4b,TR01,0,6,509,342.6642,3.7195,0.2689,0.2831,0.5549,92.0896,travel,monarch,2,0.398847,4.793932,gemma3_4b::TR01::0
gemma3_4b,TR01,0,7,509,252.1163,2.1157,0.4727,0.4992,0.4238,117.0847,travel,monarch,2,0.492042,6.056791,gemma3_4b::TR01::0
gemma3_4b,TR01,1,0,509,202.091,1.4733,0.6788,0.6918,0.3221,163.3286,travel,lowrank,16,0.649221,1.708003,gemma3_4b::TR01::1
gemma3_4b,TR01,1,1,509,205.7258,1.575,0.6349,0.6533,0.3574,148.9696,travel,monarch,2,0.653929,8.209543,gemma3_4b::TR01::1
gemma3_4b,TR01,1,2,509,170.32,1.9104,0.5234,0.7086,0.1606,88.8477,travel,lowrank,16,0.442565,0.510647,gemma3_4b::TR01::1
gemma3_4b,TR01,1,3,509,68.3241,1.0956,0.9127,0.9616,0.0801,119.2843,travel,lowrank,16,0.148533,0.252585,gemma3_4b::TR01::1
gemma3_4b,TR01,1,4,509,265.6224,4.98,0.2008,0.2716,0.4188,52.7836,travel,monarch,2,0.335155,2.603706,gemma3_4b::TR01::1
gemma3_4b,TR01,1,5,509,98.2882,1.1614,0.861,0.8902,0.0299,163.6292,travel,lowrank,16,0.29116,0.582946,gemma3_4b::TR01::1
gemma3_4b,TR01,1,6,509,65.9341,1.0733,0.9317,0.953,0.0994,152.0492,travel,lowrank,16,0.166537,0.308701,gemma3_4b::TR01::1
gemma3_4b,TR01,1,7,509,83.5491,1.0962,0.9122,0.9255,0.1259,176.8595,travel,lowrank,16,0.295956,0.643714,gemma3_4b::TR01::1
gemma3_4b,TR01,2,0,509,103.9259,1.1258,0.8883,0.9051,0.1849,200.5807,travel,lowrank,16,0.337304,0.762579,gemma3_4b::TR01::2
