task_id,model_tag,target_group,layer,head,selection_rank,kl_banded,js_banded,top10_banded,kl_plr_r2,js_plr_r2,top10_plr_r2,kl_ratio_plr_over_banded,kl_delta_plr_minus_banded
TR01,qwen3_8b,low_rank_diffuse,13,12,1,0.005293,0.001262,0.9,0.009919,0.002426,1.0,1.8739845078405442,0.004626000000000001
TR01,qwen3_8b,low_rank_diffuse,7,6,2,0.004462,0.001113,0.9,0.005415,0.001309,0.9,1.2135813536530704,0.0009529999999999999
TR01,qwen3_8b,low_rank_diffuse,7,4,3,0.005457,0.001315,0.9,0.006869,0.001679,0.9,1.2587502290635881,0.001412
TR01,qwen3_8b,low_rank_diffuse,9,30,4,0.003548,0.000874,0.9,0.009824,0.002403,1.0,2.7688838782412626,0.0062759999999999995
TR01,qwen3_8b,low_rank_diffuse,9,8,5,0.002292,0.000572,0.9,0.002463,0.000598,0.9,1.0746073298429317,0.0001709999999999997
TR01,qwen3_8b,low_rank_diffuse,9,28,6,0.001916,0.000475,0.9,0.001156,0.000298,0.9,0.6033402922755741,-0.00076
TR08,qwen3_8b,low_rank_diffuse,13,12,1,0.004674,0.001098,1.0,0.00234,0.000584,1.0,0.5006418485237484,-0.002334
TR08,qwen3_8b,low_rank_diffuse,7,6,2,0.015281,0.00397,0.9,0.003541,0.000897,1.0,0.2317256724036385,-0.01174
TR08,qwen3_8b,low_rank_diffuse,7,4,3,0.004661,0.00117,1.0,0.035643,0.007827,0.9,7.647071443896159,0.030982000000000003
TR08,qwen3_8b,low_rank_diffuse,9,30,4,0.010661,0.002608,1.0,0.008726,0.002095,1.0,0.8184973267048119,-0.001935000000000001
TR08,qwen3_8b,low_rank_diffuse,9,8,5,0.005084,0.001296,1.0,0.006027,0.001554,1.0,1.185483870967742,0.0009430000000000003
TR08,qwen3_8b,low_rank_diffuse,9,28,6,0.00276,0.000691,0.9,0.00495,0.001241,1.0,1.7934782608695654,0.0021900000000000005
BZ01,qwen3_8b,low_rank_diffuse,13,12,1,0.070826,0.014612,0.8,0.005536,0.001481,1.0,0.07816338632705504,-0.06529
BZ01,qwen3_8b,low_rank_diffuse,7,6,2,0.060267,0.012501,0.7,0.149498,0.025644,0.7,2.4805946869762887,0.08923099999999999
BZ01,qwen3_8b,low_rank_diffuse,7,4,3,0.046827,0.013897,0.8,0.086683,0.023784,0.6,1.8511328934161915,0.039855999999999996
BZ01,qwen3_8b,low_rank_diffuse,9,30,4,0.112046,0.021232,0.7,0.035231,0.008351,0.7,0.31443335772807596,-0.07681500000000001
BZ01,qwen3_8b,low_rank_diffuse,9,8,5,0.328055,0.09271,0.8,0.083969,0.016405,0.8,0.2559601286369664,-0.24408599999999997
BZ01,qwen3_8b,low_rank_diffuse,9,28,6,0.044005,0.01133,0.8,0.027346,0.007371,1.0,0.6214293830246562,-0.016659000000000004
BZ09,qwen3_8b,low_rank_diffuse,13,12,1,0.091604,0.022187,0.8,0.039202,0.009599,0.7,0.4279507445089734,-0.052402000000000004
BZ09,qwen3_8b,low_rank_diffuse,7,6,2,0.349354,0.081042,0.5,0.032275,0.008223,0.9,0.09238480166249706,-0.317079
BZ09,qwen3_8b,low_rank_diffuse,7,4,3,0.062343,0.015174,0.7,0.106471,0.025306,0.6,1.7078260590603596,0.044127999999999994
BZ09,qwen3_8b,low_rank_diffuse,9,30,4,0.918485,0.19471,0.3,0.036095,0.008868,0.7,0.03929840988148963,-0.88239
BZ09,qwen3_8b,low_rank_diffuse,9,8,5,0.008329,0.002063,0.9,0.047885,0.011697,0.7,5.749189578580862,0.039555999999999994
BZ09,qwen3_8b,low_rank_diffuse,9,28,6,0.094832,0.022858,0.7,0.163916,0.039046,0.7,1.7284882740003376,0.069084
TC01,qwen3_8b,low_rank_diffuse,13,12,1,0.026837,0.006926,1.0,0.016797,0.00423,0.9,0.6258896299884488,-0.01004
TC01,qwen3_8b,low_rank_diffuse,7,6,2,0.042886,0.010175,0.8,0.053327,0.013406,1.0,1.2434594040013058,0.010440999999999999
TC01,qwen3_8b,low_rank_diffuse,7,4,3,0.011942,0.002917,0.8,0.188094,0.04875,0.7,15.750628035504942,0.176152
TC01,qwen3_8b,low_rank_diffuse,9,30,4,0.371079,0.06496,0.6,0.063662,0.016061,0.8,0.1715591558670795,-0.307417
TC01,qwen3_8b,low_rank_diffuse,9,8,5,0.009034,0.002227,0.9,0.137659,0.03565,0.9,15.237879123311933,0.128625
TC01,qwen3_8b,low_rank_diffuse,9,28,6,0.221049,0.059465,0.8,0.056445,0.014164,0.8,0.25535062361738803,-0.164604
TC10,qwen3_8b,low_rank_diffuse,13,12,1,0.013389,0.003338,1.0,0.006573,0.001624,1.0,0.49092538651131523,-0.006816
TC10,qwen3_8b,low_rank_diffuse,7,6,2,0.031094,0.007482,0.9,0.005352,0.001328,1.0,0.172123239210137,-0.025742
TC10,qwen3_8b,low_rank_diffuse,7,4,3,0.002138,0.000535,1.0,0.027316,0.006667,0.9,12.776426566884938,0.025178
TC10,qwen3_8b,low_rank_diffuse,9,30,4,0.02162,0.005371,1.0,0.010366,0.002611,0.9,0.47946345975948196,-0.011254
TC10,qwen3_8b,low_rank_diffuse,9,8,5,0.016029,0.004064,0.9,0.003956,0.000997,0.9,0.2468026701603344,-0.012073
TC10,qwen3_8b,low_rank_diffuse,9,28,6,0.02037,0.005003,0.9,0.003747,0.000942,1.0,0.18394698085419736,-0.016623
