task_id,model_tag,target_group,layer,head,selection_rank,kl_banded,js_banded,top10_banded,kl_plr_r4,js_plr_r4,top10_plr_r4,kl_delta_plr_r4_minus_banded,kl_ratio_plr_r4_over_banded,kl_plr_r2,top10_plr_r2
TR01,qwen3_8b,low_rank_diffuse,13,12,1,0.005293,0.001262,0.9,0.010047,0.002456,1.0,0.004754,1.8981673908936332,0.009919,1.0
TR01,qwen3_8b,low_rank_diffuse,7,6,2,0.004462,0.001113,0.9,0.004388,0.001079,0.9,-7.399999999999941e-05,0.9834155087404752,0.005415,0.9
TR01,qwen3_8b,low_rank_diffuse,7,4,3,0.005457,0.001315,0.9,0.005808,0.001415,1.0,0.00035099999999999975,1.0643210555250138,0.006869,0.9
TR01,qwen3_8b,low_rank_diffuse,9,30,4,0.003548,0.000874,0.9,0.005761,0.00142,1.0,0.0022129999999999997,1.6237316798196166,0.009824,1.0
TR01,qwen3_8b,low_rank_diffuse,9,8,5,0.002292,0.000572,0.9,0.004405,0.001035,1.0,0.002113,1.9219022687609073,0.002463,0.9
TR01,qwen3_8b,low_rank_diffuse,9,28,6,0.001916,0.000475,0.9,0.003924,0.000961,1.0,0.0020080000000000002,2.048016701461378,0.001156,0.9
TR08,qwen3_8b,low_rank_diffuse,13,12,1,0.004674,0.001098,1.0,0.005924,0.001459,0.9,0.0012499999999999994,1.2674368848951647,0.00234,1.0
TR08,qwen3_8b,low_rank_diffuse,7,6,2,0.015281,0.00397,0.9,0.005823,0.001432,1.0,-0.009458,0.38106144885805904,0.003541,1.0
TR08,qwen3_8b,low_rank_diffuse,7,4,3,0.004661,0.00117,1.0,0.036593,0.008073,0.9,0.031932,7.8508903668740615,0.035643,0.9
TR08,qwen3_8b,low_rank_diffuse,9,30,4,0.010661,0.002608,1.0,0.009246,0.0022,1.0,-0.0014149999999999996,0.86727323890817,0.008726,1.0
TR08,qwen3_8b,low_rank_diffuse,9,8,5,0.005084,0.001296,1.0,0.006801,0.001739,1.0,0.0017169999999999998,1.3377261998426435,0.006027,1.0
TR08,qwen3_8b,low_rank_diffuse,9,28,6,0.00276,0.000691,0.9,0.005723,0.001375,1.0,0.002963,2.073550724637681,0.00495,1.0
BZ01,qwen3_8b,low_rank_diffuse,13,12,1,0.070826,0.014612,0.8,0.010519,0.002873,1.0,-0.060307,0.1485189054866857,0.005536,1.0
BZ01,qwen3_8b,low_rank_diffuse,7,6,2,0.060267,0.012501,0.7,0.124956,0.022919,0.7,0.064689,2.0733734879784955,0.149498,0.7
BZ01,qwen3_8b,low_rank_diffuse,7,4,3,0.046827,0.013897,0.8,0.067151,0.017423,0.5,0.020324000000000002,1.4340231063275461,0.086683,0.6
BZ01,qwen3_8b,low_rank_diffuse,9,30,4,0.112046,0.021232,0.7,0.03386,0.00815,0.7,-0.078186,0.3021973118183603,0.035231,0.7
BZ01,qwen3_8b,low_rank_diffuse,9,8,5,0.328055,0.09271,0.8,0.043046,0.008931,0.8,-0.28500899999999996,0.1312158022282849,0.083969,0.8
BZ01,qwen3_8b,low_rank_diffuse,9,28,6,0.044005,0.01133,0.8,0.075427,0.020919,0.9,0.03142199999999999,1.7140552209976136,0.027346,1.0
BZ09,qwen3_8b,low_rank_diffuse,13,12,1,0.091604,0.022187,0.8,0.003116,0.000776,0.8,-0.08848800000000001,0.03401598183485437,0.039202,0.7
BZ09,qwen3_8b,low_rank_diffuse,7,6,2,0.349354,0.081042,0.5,0.020213,0.005082,0.9,-0.329141,0.057858218311512104,0.032275,0.9
BZ09,qwen3_8b,low_rank_diffuse,7,4,3,0.062343,0.015174,0.7,0.04938,0.011957,0.8,-0.012963000000000002,0.7920696790337327,0.106471,0.6
