task_id,model_tag,target_group,layer,head,selection_rank,kl_banded,js_banded,top10_banded,kl_plr_r4,js_plr_r4,top10_plr_r4,kl_delta_plr_r4_minus_banded,kl_ratio_plr_r4_over_banded
TR01,qwen3_8b,high_complex_global,35,24,1,0.000918,0.000226,1.0,7.1e-05,1.7e-05,1.0,-0.000847,0.07734204793028324
TR01,qwen3_8b,high_complex_global,10,21,2,0.018262,0.004468,0.9,0.002367,0.000594,0.9,-0.015895,0.12961340488445955
TR01,qwen3_8b,high_complex_global,10,28,3,0.004915,0.001179,0.9,0.005303,0.001288,0.9,0.0003880000000000003,1.078942014242116
TR01,qwen3_8b,high_complex_global,7,11,4,0.002328,0.000556,0.9,0.004325,0.001056,1.0,0.0019969999999999996,1.8578178694158074
TR01,qwen3_8b,high_complex_global,11,1,5,0.006252,0.001533,0.9,0.004002,0.00098,1.0,-0.0022499999999999994,0.6401151631477928
TR01,qwen3_8b,high_complex_global,24,24,6,0.00096,0.000236,1.0,6.5e-05,1.6e-05,1.0,-0.0008950000000000001,0.06770833333333333
TR01,qwen3_8b,local_band,12,25,1,0.002086,0.000521,0.9,0.050234,0.011786,0.8,0.048148,24.08149568552253
TR01,qwen3_8b,local_band,1,4,2,0.000905,0.000223,1.0,0.00446,0.001077,1.0,0.0035550000000000004,4.928176795580111
TR01,qwen3_8b,local_band,0,1,3,0.010738,0.002639,0.9,0.18217,0.036425,0.9,0.171432,16.964984168374
TR01,qwen3_8b,local_band,1,7,4,0.008458,0.00208,0.9,0.009608,0.00234,0.9,0.00115,1.1359659493970207
TR01,qwen3_8b,local_band,0,15,5,0.004454,0.001045,0.9,0.006726,0.0016,0.9,0.0022720000000000006,1.5101032779524024
TR01,qwen3_8b,local_band,16,27,6,0.000831,0.000206,0.9,0.037809,0.009154,0.9,0.036978000000000004,45.498194945848375
TR01,qwen3_8b,low_rank_diffuse,13,12,1,0.005293,0.001262,0.9,0.010047,0.002456,1.0,0.004754,1.8981673908936332
TR01,qwen3_8b,low_rank_diffuse,7,6,2,0.004462,0.001113,0.9,0.004388,0.001079,0.9,-7.399999999999941e-05,0.9834155087404752
TR01,qwen3_8b,low_rank_diffuse,7,4,3,0.005457,0.001315,0.9,0.005808,0.001415,1.0,0.00035099999999999975,1.0643210555250138
TR01,qwen3_8b,low_rank_diffuse,9,30,4,0.003548,0.000874,0.9,0.005761,0.00142,1.0,0.0022129999999999997,1.6237316798196166
TR01,qwen3_8b,low_rank_diffuse,9,8,5,0.002292,0.000572,0.9,0.004405,0.001035,1.0,0.002113,1.9219022687609073
TR01,qwen3_8b,low_rank_diffuse,9,28,6,0.001916,0.000475,0.9,0.003924,0.000961,1.0,0.0020080000000000002,2.048016701461378
TR08,qwen3_8b,high_complex_global,35,24,1,1e-06,0.0,1.0,6.5e-05,1.6e-05,1.0,6.4e-05,65.0
TR08,qwen3_8b,high_complex_global,10,21,2,0.007147,0.001694,1.0,0.004023,0.001,1.0,-0.003124,0.5628935217573807
TR08,qwen3_8b,high_complex_global,10,28,3,0.015074,0.003586,0.9,0.000767,0.000187,1.0,-0.014307,0.05088231391800451
TR08,qwen3_8b,high_complex_global,7,11,4,0.012039,0.003086,1.0,0.008912,0.002044,1.0,-0.0031269999999999996,0.7402608190049008
TR08,qwen3_8b,high_complex_global,11,1,5,0.00135,0.000319,1.0,0.001156,0.000284,1.0,-0.00019400000000000016,0.8562962962962962
TR08,qwen3_8b,high_complex_global,24,24,6,7.3e-05,1.8e-05,0.9,0.000527,0.00013,1.0,0.00045400000000000003,7.219178082191781
TR08,qwen3_8b,local_band,12,25,1,0.003108,0.000762,0.9,0.035444,0.007721,1.0,0.032336000000000004,11.404118404118405
TR08,qwen3_8b,local_band,1,4,2,0.003423,0.000828,1.0,0.007557,0.001871,0.9,0.0041340000000000005,2.2077125328659073
TR08,qwen3_8b,local_band,0,1,3,0.01755,0.004583,0.9,0.442187,0.116073,0.7,0.424637,25.195840455840457
TR08,qwen3_8b,local_band,1,7,4,0.002614,0.000655,1.0,0.002124,0.000529,1.0,-0.00049,0.8125478194338179
TR08,qwen3_8b,local_band,0,15,5,0.001408,0.000351,1.0,0.020556,0.005248,0.9,0.019148000000000002,14.59943181818182
TR08,qwen3_8b,local_band,16,27,6,0.016761,0.003943,1.0,0.007482,0.001971,1.0,-0.009279000000000003,0.44639341328083043
TR08,qwen3_8b,low_rank_diffuse,13,12,1,0.004674,0.001098,1.0,0.005924,0.001459,0.9,0.0012499999999999994,1.2674368848951647
