task_id,model_tag,target_group,layer,head,selection_rank,source_erank,source_diag_conc,source_mean_dist,kl_div,js_div,top10_overlap
BZ09,qwen3_8b,low_rank_diffuse,9,30,4,1.7939666666666667,0.0265916666666666,153.53786666666667,0.918485,0.19471,0.3
TC01,qwen3_8b,low_rank_diffuse,9,30,4,1.7939666666666667,0.0265916666666666,153.53786666666667,0.371079,0.06496,0.6
BZ09,qwen3_8b,low_rank_diffuse,7,6,2,1.586575,0.0234,154.88856666666666,0.349354,0.081042,0.5
BZ01,qwen3_8b,low_rank_diffuse,9,8,5,2.4780666666666664,0.0253166666666666,153.0492,0.328055,0.09271,0.8
TC01,qwen3_8b,low_rank_diffuse,9,28,6,3.034283333333333,0.0303833333333333,152.54668333333333,0.221049,0.059465,0.8
BZ01,qwen3_8b,low_rank_diffuse,9,30,4,1.7939666666666667,0.0265916666666666,153.53786666666667,0.112046,0.021232,0.7
BZ09,qwen3_8b,low_rank_diffuse,9,28,6,3.034283333333333,0.0303833333333333,152.54668333333333,0.094832,0.022858,0.7
BZ09,qwen3_8b,low_rank_diffuse,13,12,1,1.008608333333333,0.022675,156.03235,0.091604,0.022187,0.8
BZ01,qwen3_8b,low_rank_diffuse,13,12,1,1.008608333333333,0.022675,156.03235,0.070826,0.014612,0.8
BZ09,qwen3_8b,low_rank_diffuse,7,4,3,2.36105,0.0289916666666666,155.08359166666665,0.062343,0.015174,0.7
BZ01,qwen3_8b,low_rank_diffuse,7,6,2,1.586575,0.0234,154.88856666666666,0.060267,0.012501,0.7
BZ01,qwen3_8b,low_rank_diffuse,7,4,3,2.36105,0.0289916666666666,155.08359166666665,0.046827,0.013897,0.8
BZ01,qwen3_8b,low_rank_diffuse,9,28,6,3.034283333333333,0.0303833333333333,152.54668333333333,0.044005,0.01133,0.8
TC01,qwen3_8b,low_rank_diffuse,7,6,2,1.586575,0.0234,154.88856666666666,0.042886,0.010175,0.8
TC10,qwen3_8b,low_rank_diffuse,7,6,2,1.586575,0.0234,154.88856666666666,0.031094,0.007482,0.9
TC01,qwen3_8b,low_rank_diffuse,13,12,1,1.008608333333333,0.022675,156.03235,0.026837,0.006926,1.0
TC10,qwen3_8b,low_rank_diffuse,9,30,4,1.7939666666666667,0.0265916666666666,153.53786666666667,0.02162,0.005371,1.0
TC10,qwen3_8b,low_rank_diffuse,9,28,6,3.034283333333333,0.0303833333333333,152.54668333333333,0.02037,0.005003,0.9
TC10,qwen3_8b,low_rank_diffuse,9,8,5,2.4780666666666664,0.0253166666666666,153.0492,0.016029,0.004064,0.9
TR08,qwen3_8b,low_rank_diffuse,7,6,2,1.586575,0.0234,154.88856666666666,0.015281,0.00397,0.9
TC10,qwen3_8b,low_rank_diffuse,13,12,1,1.008608333333333,0.022675,156.03235,0.013389,0.003338,1.0
TC01,qwen3_8b,low_rank_diffuse,7,4,3,2.36105,0.0289916666666666,155.08359166666665,0.011942,0.002917,0.8
TR08,qwen3_8b,low_rank_diffuse,9,30,4,1.7939666666666667,0.0265916666666666,153.53786666666667,0.010661,0.002608,1.0
TC01,qwen3_8b,low_rank_diffuse,9,8,5,2.4780666666666664,0.0253166666666666,153.0492,0.009034,0.002227,0.9
BZ09,qwen3_8b,low_rank_diffuse,9,8,5,2.4780666666666664,0.0253166666666666,153.0492,0.008329,0.002063,0.9
TR01,qwen3_8b,low_rank_diffuse,7,4,3,2.36105,0.0289916666666666,155.08359166666665,0.005457,0.001315,0.9
TR01,qwen3_8b,low_rank_diffuse,13,12,1,1.008608333333333,0.022675,156.03235,0.005293,0.001262,0.9
TR08,qwen3_8b,low_rank_diffuse,9,8,5,2.4780666666666664,0.0253166666666666,153.0492,0.005084,0.001296,1.0
TR08,qwen3_8b,low_rank_diffuse,13,12,1,1.008608333333333,0.022675,156.03235,0.004674,0.001098,1.0
TR08,qwen3_8b,low_rank_diffuse,7,4,3,2.36105,0.0289916666666666,155.08359166666665,0.004661,0.00117,1.0
