model_tag,task_id,layer,head,seq_len,erank,stable_rank,energy_top1,energy_top5,diag_conc,mean_dist,domain,best_method,best_param,best_frob_rel,best_kl_mean,group_id
gemma3_4b,TR01,0,0,509,131.8086,1.3834,0.7228,0.7767,0.1289,88.4241,travel,sparse_topk,40,0.02395,0.647801,gemma3_4b::TR01::0
gemma3_4b,TR01,0,1,509,252.0467,4.5677,0.2189,0.2698,0.2656,73.2616,travel,sparse_topk,40,0.015943,0.374527,gemma3_4b::TR01::0
gemma3_4b,TR01,0,2,509,235.1035,2.7179,0.3679,0.436,0.289,45.0106,travel,sparse_topk,40,0.012202,0.207881,gemma3_4b::TR01::0
gemma3_4b,TR01,0,3,509,98.4579,1.8419,0.5429,0.7344,0.0891,89.2456,travel,sparse_topk,40,0.044954,0.980721,gemma3_4b::TR01::0
gemma3_4b,TR01,0,4,509,385.6151,82.2539,0.0122,0.0488,0.9277,3.2701,travel,sparse_topk,40,0.00098,0.000597,gemma3_4b::TR01::0
gemma3_4b,TR01,0,5,509,201.5453,8.1195,0.1232,0.28,0.2561,42.3223,travel,sparse_topk,40,0.00787,0.088415,gemma3_4b::TR01::0
gemma3_4b,TR01,0,6,509,342.6642,3.7195,0.2689,0.2831,0.5549,92.0896,travel,sparse_topk,40,0.001097,0.000107,gemma3_4b::TR01::0
gemma3_4b,TR01,0,7,509,252.1163,2.1157,0.4727,0.4992,0.4238,117.0847,travel,sparse_topk,40,0.002125,0.011374,gemma3_4b::TR01::0
gemma3_4b,TR01,1,0,509,202.091,1.4733,0.6788,0.6918,0.3221,163.3286,travel,sparse_topk,40,0.001099,0.00098,gemma3_4b::TR01::1
gemma3_4b,TR01,1,1,509,205.7258,1.575,0.6349,0.6533,0.3574,148.9696,travel,sparse_topk,40,0.001129,0.001341,gemma3_4b::TR01::1
gemma3_4b,TR01,1,2,509,170.32,1.9104,0.5234,0.7086,0.1606,88.8477,travel,sparse_topk,40,0.027298,0.404186,gemma3_4b::TR01::1
gemma3_4b,TR01,1,3,509,68.3241,1.0956,0.9127,0.9616,0.0801,119.2843,travel,sparse_topk,40,0.030784,0.581011,gemma3_4b::TR01::1
gemma3_4b,TR01,1,4,509,265.6224,4.98,0.2008,0.2716,0.4188,52.7836,travel,sparse_topk,40,0.005396,0.066889,gemma3_4b::TR01::1
gemma3_4b,TR01,1,5,509,98.2882,1.1614,0.861,0.8902,0.0299,163.6292,travel,sparse_topk,40,0.005418,0.072843,gemma3_4b::TR01::1
gemma3_4b,TR01,1,6,509,65.9341,1.0733,0.9317,0.953,0.0994,152.0492,travel,sparse_topk,40,0.001109,0.00147,gemma3_4b::TR01::1
gemma3_4b,TR01,1,7,509,83.5491,1.0962,0.9122,0.9255,0.1259,176.8595,travel,sparse_topk,40,0.001141,0.000166,gemma3_4b::TR01::1
gemma3_4b,TR01,2,0,509,103.9259,1.1258,0.8883,0.9051,0.1849,200.5807,travel,sparse_topk,40,0.001176,0.00347,gemma3_4b::TR01::2
gemma3_4b,TR01,2,1,509,187.3747,1.7986,0.556,0.6133,0.3645,120.8185,travel,sparse_topk,40,0.001332,0.007336,gemma3_4b::TR01::2
gemma3_4b,TR01,2,2,509,366.1771,2.8921,0.3458,0.3664,0.6291,89.9842,travel,sparse_topk,40,0.001495,0.006677,gemma3_4b::TR01::2
gemma3_4b,TR01,2,3,509,289.5168,1.8478,0.5412,0.571,0.5197,108.128,travel,sparse_topk,40,0.001639,0.010246,gemma3_4b::TR01::2
gemma3_4b,TR01,2,4,509,342.9145,2.2178,0.4509,0.491,0.3097,91.2605,travel,sparse_topk,40,0.016813,0.212519,gemma3_4b::TR01::2
gemma3_4b,TR01,2,5,509,267.9828,2.6482,0.3776,0.4117,0.4955,99.9293,travel,sparse_topk,40,0.008772,0.106816,gemma3_4b::TR01::2
gemma3_4b,TR01,2,6,509,191.6999,5.6527,0.1769,0.2788,0.4953,18.6565,travel,sparse_topk,40,0.001687,0.012517,gemma3_4b::TR01::2
gemma3_4b,TR01,2,7,509,194.2502,1.4339,0.6974,0.7386,0.1049,82.8068,travel,sparse_topk,40,0.004285,0.060463,gemma3_4b::TR01::2
gemma3_4b,TR01,3,0,509,166.3812,1.4746,0.6782,0.7399,0.342,137.8825,travel,sparse_topk,40,0.003071,0.026631,gemma3_4b::TR01::3
gemma3_4b,TR01,3,1,509,164.2271,1.2428,0.8047,0.8271,0.2512,127.6197,travel,sparse_topk,40,0.00282,0.029064,gemma3_4b::TR01::3
gemma3_4b,TR01,3,2,509,161.747,1.2541,0.7974,0.8188,0.3175,141.5774,travel,sparse_topk,40,0.001578,0.00956,gemma3_4b::TR01::3
gemma3_4b,TR01,3,3,509,256.4523,3.0074,0.3325,0.3755,0.5594,90.417,travel,sparse_topk,40,0.001995,0.013196,gemma3_4b::TR01::3
gemma3_4b,TR01,3,4,509,220.7098,1.5859,0.6306,0.6564,0.4495,106.7827,travel,sparse_topk,40,0.002295,0.019334,gemma3_4b::TR01::3
gemma3_4b,TR01,3,5,509,264.2992,1.7698,0.565,0.6058,0.3695,86.1481,travel,sparse_topk,40,0.007425,0.067157,gemma3_4b::TR01::3
gemma3_4b,TR01,3,6,509,148.0575,1.9284,0.5186,0.5915,0.2906,84.1072,travel,sparse_topk,40,0.003261,0.031799,gemma3_4b::TR01::3
gemma3_4b,TR01,3,7,509,222.0477,1.7189,0.5818,0.6286,0.3811,125.3047,travel,sparse_topk,40,0.002917,0.025821,gemma3_4b::TR01::3
gemma3_4b,TR01,4,0,509,182.6167,1.6567,0.6036,0.7157,0.1834,74.5644,travel,sparse_topk,40,0.017362,0.232745,gemma3_4b::TR01::4
gemma3_4b,TR01,4,1,509,187.8189,4.4118,0.2267,0.4848,0.2968,53.6887,travel,sparse_topk,40,0.002889,0.024113,gemma3_4b::TR01::4
gemma3_4b,TR01,4,2,509,146.192,1.2637,0.7913,0.8157,0.041,145.9121,travel,sparse_topk,40,0.003249,0.029986,gemma3_4b::TR01::4
gemma3_4b,TR01,4,3,509,247.9961,1.5721,0.6361,0.6658,0.3271,88.1537,travel,sparse_topk,40,0.00192,0.014599,gemma3_4b::TR01::4
gemma3_4b,TR01,4,4,509,144.4076,3.3395,0.2994,0.4508,0.3019,33.3141,travel,sparse_topk,40,0.001988,0.012399,gemma3_4b::TR01::4
gemma3_4b,TR01,4,5,509,279.1007,4.8975,0.2042,0.2591,0.6961,41.5818,travel,sparse_topk,40,0.002848,0.019245,gemma3_4b::TR01::4
gemma3_4b,TR01,4,6,509,491.4478,155.8094,0.0064,0.0225,0.9121,10.118,travel,sparse_topk,40,0.001774,0.009291,gemma3_4b::TR01::4
gemma3_4b,TR01,4,7,509,90.1294,1.7492,0.5717,0.8523,0.0687,98.4692,travel,sparse_topk,40,0.042678,0.705681,gemma3_4b::TR01::4
gemma3_4b,TR01,5,0,509,188.4304,1.2568,0.7957,0.816,0.1368,140.2698,travel,sparse_topk,40,0.001852,0.010376,gemma3_4b::TR01::5
gemma3_4b,TR01,5,1,509,65.1676,1.0461,0.956,0.9649,0.0452,208.5322,travel,sparse_topk,40,0.001261,0.004718,gemma3_4b::TR01::5
gemma3_4b,TR01,5,2,509,56.1541,1.0476,0.9545,0.9643,0.0489,217.3688,travel,sparse_topk,40,0.001997,0.012311,gemma3_4b::TR01::5
gemma3_4b,TR01,5,3,509,84.8531,1.0959,0.9125,0.9303,0.0309,198.9394,travel,sparse_topk,40,0.002074,0.01702,gemma3_4b::TR01::5
gemma3_4b,TR01,5,4,509,237.7641,2.3694,0.422,0.4906,0.4697,80.3851,travel,sparse_topk,40,0.004259,0.030895,gemma3_4b::TR01::5
gemma3_4b,TR01,5,5,509,68.9456,1.0439,0.9579,0.9728,0.0612,149.6507,travel,sparse_topk,40,0.027491,0.377771,gemma3_4b::TR01::5
gemma3_4b,TR01,5,6,509,159.0491,1.2058,0.8293,0.8824,0.1093,109.261,travel,sparse_topk,40,0.009166,0.116084,gemma3_4b::TR01::5
gemma3_4b,TR01,5,7,509,86.3659,1.2379,0.8078,0.8914,0.1247,141.8956,travel,sparse_topk,40,0.01065,0.130648,gemma3_4b::TR01::5
gemma3_4b,TR01,6,0,509,98.2253,1.0985,0.9103,0.9266,0.143,132.8425,travel,sparse_topk,40,0.006217,0.060898,gemma3_4b::TR01::6
gemma3_4b,TR01,6,1,509,178.6178,1.2472,0.8018,0.8289,0.3183,121.0797,travel,sparse_topk,40,0.00471,0.037885,gemma3_4b::TR01::6
gemma3_4b,TR01,6,2,509,154.3006,1.9546,0.5116,0.6688,0.1936,106.025,travel,sparse_topk,40,0.01059,0.112445,gemma3_4b::TR01::6
gemma3_4b,TR01,6,3,509,133.3922,1.9856,0.5036,0.7931,0.1574,105.3661,travel,sparse_topk,40,0.007723,0.09659,gemma3_4b::TR01::6
gemma3_4b,TR01,6,4,509,126.4483,1.1006,0.9086,0.9294,0.0515,149.6483,travel,sparse_topk,40,0.012491,0.16101,gemma3_4b::TR01::6
gemma3_4b,TR01,6,5,509,64.7376,1.0421,0.9596,0.9784,0.0977,131.905,travel,sparse_topk,40,0.02553,0.370022,gemma3_4b::TR01::6
gemma3_4b,TR01,6,6,509,224.9864,1.9684,0.508,0.5639,0.4545,89.7725,travel,sparse_topk,40,0.006129,0.061675,gemma3_4b::TR01::6
gemma3_4b,TR01,6,7,509,302.6354,1.364,0.7332,0.762,0.3436,100.0309,travel,sparse_topk,40,0.017093,0.188434,gemma3_4b::TR01::6
gemma3_4b,TR01,7,0,509,387.6928,2.9603,0.3378,0.3587,0.6566,85.9251,travel,sparse_topk,40,0.001057,0.000446,gemma3_4b::TR01::7
gemma3_4b,TR01,7,1,509,317.9746,2.0105,0.4974,0.5252,0.5727,96.3509,travel,sparse_topk,40,0.001064,0.001475,gemma3_4b::TR01::7
gemma3_4b,TR01,7,2,509,138.8184,1.8226,0.5487,0.6103,0.3757,91.508,travel,sparse_topk,40,0.001166,0.003541,gemma3_4b::TR01::7
gemma3_4b,TR01,7,3,509,255.4811,1.9179,0.5214,0.5676,0.4795,105.8611,travel,sparse_topk,40,0.001792,0.01183,gemma3_4b::TR01::7
gemma3_4b,TR01,7,4,509,110.2945,1.6911,0.5913,0.8062,0.111,99.4487,travel,sparse_topk,40,0.006923,0.090367,gemma3_4b::TR01::7
gemma3_4b,TR01,7,5,509,198.6526,3.4465,0.2901,0.3664,0.4463,66.7481,travel,sparse_topk,40,0.001344,0.006819,gemma3_4b::TR01::7
gemma3_4b,TR01,7,6,509,149.3666,1.2468,0.8021,0.8453,0.1607,96.115,travel,sparse_topk,40,0.007437,0.092148,gemma3_4b::TR01::7
gemma3_4b,TR01,7,7,509,226.1175,2.1911,0.4564,0.5237,0.2122,75.5685,travel,sparse_topk,40,0.00247,0.021827,gemma3_4b::TR01::7
gemma3_4b,TR01,8,0,509,202.7695,1.3483,0.7417,0.7906,0.3297,112.3411,travel,sparse_topk,40,0.005048,0.044272,gemma3_4b::TR01::8
