model_tag,classifier,feature,importance
ALL,decision_tree_depth3,erank,0.001103
ALL,decision_tree_depth3,stable_rank,0.0
ALL,decision_tree_depth3,energy_top1,0.13734
ALL,decision_tree_depth3,energy_top5,0.02347
ALL,decision_tree_depth3,diag_conc,0.0
ALL,decision_tree_depth3,mean_dist,0.774541
ALL,decision_tree_depth3,seq_len,0.063546
ALL,random_forest_depth5,erank,0.298077
ALL,random_forest_depth5,stable_rank,0.101912
ALL,random_forest_depth5,energy_top1,0.085561
ALL,random_forest_depth5,energy_top5,0.273746
ALL,random_forest_depth5,diag_conc,0.164844
ALL,random_forest_depth5,mean_dist,0.053585
ALL,random_forest_depth5,seq_len,0.022274
ministral8b,decision_tree_depth3,erank,0.0
ministral8b,decision_tree_depth3,stable_rank,0.0
ministral8b,decision_tree_depth3,energy_top1,0.591039
ministral8b,decision_tree_depth3,energy_top5,0.034206
ministral8b,decision_tree_depth3,diag_conc,0.0
ministral8b,decision_tree_depth3,mean_dist,0.374755
ministral8b,decision_tree_depth3,seq_len,0.0
ministral8b,random_forest_depth5,erank,0.283523
ministral8b,random_forest_depth5,stable_rank,0.118736
ministral8b,random_forest_depth5,energy_top1,0.077312
ministral8b,random_forest_depth5,energy_top5,0.242427
ministral8b,random_forest_depth5,diag_conc,0.155529
ministral8b,random_forest_depth5,mean_dist,0.104185
ministral8b,random_forest_depth5,seq_len,0.018288
qwen3_8b,decision_tree_depth3,erank,0.0
qwen3_8b,decision_tree_depth3,stable_rank,0.293689
qwen3_8b,decision_tree_depth3,energy_top1,0.086113
qwen3_8b,decision_tree_depth3,energy_top5,0.0
qwen3_8b,decision_tree_depth3,diag_conc,0.0
qwen3_8b,decision_tree_depth3,mean_dist,0.620197
qwen3_8b,decision_tree_depth3,seq_len,0.0
qwen3_8b,random_forest_depth5,erank,0.268738
qwen3_8b,random_forest_depth5,stable_rank,0.256468
qwen3_8b,random_forest_depth5,energy_top1,0.185646
qwen3_8b,random_forest_depth5,energy_top5,0.118524
qwen3_8b,random_forest_depth5,diag_conc,0.087453
qwen3_8b,random_forest_depth5,mean_dist,0.070321
qwen3_8b,random_forest_depth5,seq_len,0.01285
