model_tag,protocol,feature_set,class,support,recall
ALL,group_split_by_model_task_layer,full,banded,31,0.935484
ALL,group_split_by_model_task_layer,full,lowrank,6854,0.969507
ALL,group_split_by_model_task_layer,full,monarch,699,0.938484
ALL,leave_one_prompt::BZ01,full,banded,25,1.0
ALL,leave_one_prompt::BZ01,full,lowrank,2382,0.959278
ALL,leave_one_prompt::BZ01,full,monarch,169,0.852071
ALL,leave_one_prompt::BZ02,full,banded,27,0.925926
ALL,leave_one_prompt::BZ02,full,lowrank,2380,0.961345
ALL,leave_one_prompt::BZ02,full,monarch,169,0.87574
ALL,leave_one_prompt::BZ05,full,banded,24,1.0
ALL,leave_one_prompt::BZ05,full,lowrank,2362,0.969941
ALL,leave_one_prompt::BZ05,full,monarch,190,0.852632
ALL,leave_one_prompt::BZ09,full,banded,21,1.0
ALL,leave_one_prompt::BZ09,full,lowrank,2355,0.96518
ALL,leave_one_prompt::BZ09,full,monarch,200,0.885
ALL,leave_one_prompt::TC01,full,banded,25,1.0
ALL,leave_one_prompt::TC01,full,lowrank,2380,0.960924
ALL,leave_one_prompt::TC01,full,monarch,171,0.847953
ALL,leave_one_prompt::TC02,full,banded,21,1.0
ALL,leave_one_prompt::TC02,full,lowrank,2361,0.96654
ALL,leave_one_prompt::TC02,full,monarch,194,0.871134
ALL,leave_one_prompt::TC08,full,banded,22,1.0
ALL,leave_one_prompt::TC08,full,lowrank,2356,0.968591
ALL,leave_one_prompt::TC08,full,monarch,198,0.878788
ALL,leave_one_prompt::TC10,full,banded,21,0.952381
ALL,leave_one_prompt::TC10,full,lowrank,2362,0.960627
ALL,leave_one_prompt::TC10,full,monarch,193,0.875648
ALL,leave_one_prompt::TR01,full,banded,10,1.0
ALL,leave_one_prompt::TR01,full,lowrank,2246,0.964826
ALL,leave_one_prompt::TR01,full,monarch,320,0.96875
ALL,leave_one_prompt::TR02,full,banded,13,1.0
ALL,leave_one_prompt::TR02,full,lowrank,2252,0.967584
ALL,leave_one_prompt::TR02,full,monarch,311,0.961415
ALL,leave_one_prompt::TR05,full,banded,11,0.909091
ALL,leave_one_prompt::TR05,full,lowrank,2245,0.959911
ALL,leave_one_prompt::TR05,full,monarch,320,0.959375
ALL,leave_one_prompt::TR08,full,banded,10,0.7
ALL,leave_one_prompt::TR08,full,lowrank,2229,0.967699
ALL,leave_one_prompt::TR08,full,monarch,337,0.952522
ALL,leave_one_prompt_macro,full,banded,230,0.969565
ALL,leave_one_prompt_macro,full,lowrank,27910,0.96435
ALL,leave_one_prompt_macro,full,monarch,2772,0.910895
ALL,group_split_by_model_task_layer,no_seq_len,banded,31,0.903226
ALL,group_split_by_model_task_layer,no_seq_len,lowrank,6854,0.968194
ALL,group_split_by_model_task_layer,no_seq_len,monarch,699,0.939914
ALL,leave_one_prompt::BZ01,no_seq_len,banded,25,1.0
ALL,leave_one_prompt::BZ01,no_seq_len,lowrank,2382,0.960537
ALL,leave_one_prompt::BZ01,no_seq_len,monarch,169,0.852071
ALL,leave_one_prompt::BZ02,no_seq_len,banded,27,0.925926
ALL,leave_one_prompt::BZ02,no_seq_len,lowrank,2380,0.960084
ALL,leave_one_prompt::BZ02,no_seq_len,monarch,169,0.857988
ALL,leave_one_prompt::BZ05,no_seq_len,banded,24,1.0
ALL,leave_one_prompt::BZ05,no_seq_len,lowrank,2362,0.967824
ALL,leave_one_prompt::BZ05,no_seq_len,monarch,190,0.836842
ALL,leave_one_prompt::BZ09,no_seq_len,banded,21,1.0
ALL,leave_one_prompt::BZ09,no_seq_len,lowrank,2355,0.961783
ALL,leave_one_prompt::BZ09,no_seq_len,monarch,200,0.88
ALL,leave_one_prompt::TC01,no_seq_len,banded,25,1.0
ALL,leave_one_prompt::TC01,no_seq_len,lowrank,2380,0.960084
ALL,leave_one_prompt::TC01,no_seq_len,monarch,171,0.836257
ALL,leave_one_prompt::TC02,no_seq_len,banded,21,1.0
ALL,leave_one_prompt::TC02,no_seq_len,lowrank,2361,0.964422
ALL,leave_one_prompt::TC02,no_seq_len,monarch,194,0.876289
ALL,leave_one_prompt::TC08,no_seq_len,banded,22,1.0
ALL,leave_one_prompt::TC08,no_seq_len,lowrank,2356,0.967317
ALL,leave_one_prompt::TC08,no_seq_len,monarch,198,0.878788
ALL,leave_one_prompt::TC10,no_seq_len,banded,21,0.952381
ALL,leave_one_prompt::TC10,no_seq_len,lowrank,2362,0.957663
ALL,leave_one_prompt::TC10,no_seq_len,monarch,193,0.870466
ALL,leave_one_prompt::TR01,no_seq_len,banded,10,1.0
ALL,leave_one_prompt::TR01,no_seq_len,lowrank,2246,0.970614
ALL,leave_one_prompt::TR01,no_seq_len,monarch,320,0.953125
ALL,leave_one_prompt::TR02,no_seq_len,banded,13,1.0
ALL,leave_one_prompt::TR02,no_seq_len,lowrank,2252,0.971581
ALL,leave_one_prompt::TR02,no_seq_len,monarch,311,0.948553
ALL,leave_one_prompt::TR05,no_seq_len,banded,11,0.909091
ALL,leave_one_prompt::TR05,no_seq_len,lowrank,2245,0.966592
ALL,leave_one_prompt::TR05,no_seq_len,monarch,320,0.9625
ALL,leave_one_prompt::TR08,no_seq_len,banded,10,0.7
ALL,leave_one_prompt::TR08,no_seq_len,lowrank,2229,0.971288
ALL,leave_one_prompt::TR08,no_seq_len,monarch,337,0.95549
