model_tag,protocol,feature_set,n_test,classes,majority_class,accuracy,balanced_accuracy,macro_f1,majority_accuracy,majority_balanced_accuracy,majority_macro_f1
ALL,group_split_by_model_task_layer,full,7584,"banded,lowrank,monarch",lowrank,0.966508,0.947825,0.817318,0.903745,0.333333,0.31648
ALL,leave_one_prompt::BZ01,full,2576,"banded,lowrank,monarch",lowrank,0.95264,0.937116,0.785707,0.924689,0.333333,0.32029
ALL,leave_one_prompt::BZ02,full,2576,"banded,lowrank,monarch",lowrank,0.955357,0.921003,0.79824,0.923913,0.333333,0.320151
ALL,leave_one_prompt::BZ05,full,2576,"banded,lowrank,monarch",lowrank,0.961568,0.940857,0.802533,0.916925,0.333333,0.318888
ALL,leave_one_prompt::BZ09,full,2576,"banded,lowrank,monarch",lowrank,0.959239,0.95006,0.803187,0.914208,0.333333,0.318394
ALL,leave_one_prompt::TC01,full,2576,"banded,lowrank,monarch",lowrank,0.953804,0.936293,0.785192,0.923913,0.333333,0.320151
ALL,leave_one_prompt::TC02,full,2576,"banded,lowrank,monarch",lowrank,0.959627,0.945891,0.794614,0.916537,0.333333,0.318817
ALL,leave_one_prompt::TC08,full,2576,"banded,lowrank,monarch",lowrank,0.961957,0.949126,0.810185,0.914596,0.333333,0.318464
ALL,leave_one_prompt::TC10,full,2576,"banded,lowrank,monarch",lowrank,0.954193,0.929552,0.778844,0.916925,0.333333,0.318888
ALL,leave_one_prompt::TR01,full,2576,"banded,lowrank,monarch",lowrank,0.96545,0.977859,0.885153,0.871894,0.333333,0.310521
ALL,leave_one_prompt::TR02,full,2576,"banded,lowrank,monarch",lowrank,0.967003,0.976333,0.917877,0.874224,0.333333,0.310964
ALL,leave_one_prompt::TR05,full,2576,"banded,lowrank,monarch",lowrank,0.959627,0.942792,0.849217,0.871506,0.333333,0.310447
ALL,leave_one_prompt::TR08,full,2576,"banded,lowrank,monarch",lowrank,0.964674,0.873407,0.821965,0.865295,0.333333,0.309261
ALL,leave_one_prompt_macro,full,30912,"banded,lowrank,monarch",lowrank,0.959595,0.94827,0.819536,0.902886,0.333333,0.316322
ALL,group_split_by_model_task_layer,no_seq_len,7584,"banded,lowrank,monarch",lowrank,0.965322,0.937111,0.812829,0.903745,0.333333,0.31648
ALL,leave_one_prompt::BZ01,no_seq_len,2576,"banded,lowrank,monarch",lowrank,0.953804,0.937536,0.787651,0.924689,0.333333,0.32029
ALL,leave_one_prompt::BZ02,no_seq_len,2576,"banded,lowrank,monarch",lowrank,0.953028,0.914666,0.783896,0.923913,0.333333,0.320151
ALL,leave_one_prompt::BZ05,no_seq_len,2576,"banded,lowrank,monarch",lowrank,0.958463,0.934889,0.784946,0.916925,0.333333,0.318888
ALL,leave_one_prompt::BZ09,no_seq_len,2576,"banded,lowrank,monarch",lowrank,0.955745,0.947261,0.793942,0.914208,0.333333,0.318394
ALL,leave_one_prompt::TC01,no_seq_len,2576,"banded,lowrank,monarch",lowrank,0.952252,0.932114,0.778792,0.923913,0.333333,0.320151
ALL,leave_one_prompt::TC02,no_seq_len,2576,"banded,lowrank,monarch",lowrank,0.958075,0.946904,0.792394,0.916537,0.333333,0.318817
ALL,leave_one_prompt::TC08,no_seq_len,2576,"banded,lowrank,monarch",lowrank,0.960792,0.948702,0.808228,0.914596,0.333333,0.318464
ALL,leave_one_prompt::TC10,no_seq_len,2576,"banded,lowrank,monarch",lowrank,0.951087,0.926837,0.770569,0.916925,0.333333,0.318888
ALL,leave_one_prompt::TR01,no_seq_len,2576,"banded,lowrank,monarch",lowrank,0.968556,0.97458,0.888549,0.871894,0.333333,0.310521
ALL,leave_one_prompt::TR02,no_seq_len,2576,"banded,lowrank,monarch",lowrank,0.968944,0.973378,0.919952,0.874224,0.333333,0.310964
ALL,leave_one_prompt::TR05,no_seq_len,2576,"banded,lowrank,monarch",lowrank,0.965839,0.946061,0.885411,0.871506,0.333333,0.310447
ALL,leave_one_prompt::TR08,no_seq_len,2576,"banded,lowrank,monarch",lowrank,0.968168,0.875592,0.856601,0.865295,0.333333,0.309261
ALL,leave_one_prompt_macro,no_seq_len,30912,"banded,lowrank,monarch",lowrank,0.959563,0.946525,0.81782,0.902886,0.333333,0.316322
gemma3_4b,group_split_by_model_task_layer,full,816,"banded,lowrank,monarch",lowrank,0.92402,0.95393,0.796392,0.824755,0.333333,0.301321
gemma3_4b,leave_one_prompt::BZ01,full,272,"banded,lowrank,monarch",lowrank,0.926471,0.96239,0.853113,0.878676,0.333333,0.311807
gemma3_4b,leave_one_prompt::BZ02,full,272,"banded,lowrank,monarch",lowrank,0.922794,0.961454,0.853359,0.871324,0.333333,0.310413
gemma3_4b,leave_one_prompt::BZ05,full,272,"banded,lowrank,monarch",lowrank,0.9375,0.959585,0.87236,0.860294,0.333333,0.3083
gemma3_4b,leave_one_prompt::BZ09,full,272,"banded,lowrank,monarch",lowrank,0.944853,0.971505,0.890229,0.834559,0.333333,0.303273
gemma3_4b,leave_one_prompt::TC01,full,272,"banded,lowrank,monarch",lowrank,0.908088,0.937808,0.834358,0.871324,0.333333,0.310413
gemma3_4b,leave_one_prompt::TC02,full,272,"banded,lowrank,monarch",lowrank,0.933824,0.786278,0.719195,0.856618,0.333333,0.307591
gemma3_4b,leave_one_prompt::TC08,full,272,"banded,lowrank,monarch",lowrank,0.933824,0.951514,0.807322,0.856618,0.333333,0.307591
gemma3_4b,leave_one_prompt::TC10,full,272,"banded,lowrank,monarch",lowrank,0.919118,0.953721,0.79586,0.852941,0.333333,0.306878
gemma3_4b,leave_one_prompt::TR01,full,272,"banded,lowrank,monarch",lowrank,0.926471,0.91621,0.608734,0.724265,0.5,0.280028
gemma3_4b,leave_one_prompt::TR02,full,272,"banded,lowrank,monarch",lowrank,0.930147,0.947835,0.776823,0.727941,0.333333,0.280851
gemma3_4b,leave_one_prompt::TR05,full,272,"banded,lowrank,monarch",lowrank,0.9375,0.95985,0.783787,0.727941,0.333333,0.280851
gemma3_4b,leave_one_prompt::TR08,full,272,"banded,lowrank,monarch",lowrank,0.9375,0.96291,0.785306,0.716912,0.333333,0.278373
gemma3_4b,leave_one_prompt_macro,full,3264,"banded,lowrank,monarch",lowrank,0.929841,0.940463,0.823918,0.814951,0.333333,0.299347
gemma3_4b,group_split_by_model_task_layer,no_seq_len,816,"banded,lowrank,monarch",lowrank,0.928922,0.959752,0.801563,0.824755,0.333333,0.301321
gemma3_4b,leave_one_prompt::BZ01,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.922794,0.960995,0.849217,0.878676,0.333333,0.311807
gemma3_4b,leave_one_prompt::BZ02,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.926471,0.96286,0.857161,0.871324,0.333333,0.310413
gemma3_4b,leave_one_prompt::BZ05,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.944853,0.970533,0.881861,0.860294,0.333333,0.3083
gemma3_4b,leave_one_prompt::BZ09,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.952206,0.974442,0.897717,0.834559,0.333333,0.303273
gemma3_4b,leave_one_prompt::TC01,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.911765,0.939214,0.83797,0.871324,0.333333,0.310413
gemma3_4b,leave_one_prompt::TC02,no_seq_len,272,"banded,lowrank,monarch",lowrank,0.941176,0.961953,0.816549,0.856618,0.333333,0.307591
