model_tag,domain,retention_pct,rows,frob_mean,frob_median,kl_mean,kl_median
gemma3_4b,business,5,1088,0.178933,0.13955,2.80394,2.262586
gemma3_4b,business,10,1088,0.095908,0.076299,1.541457,1.208693
gemma3_4b,business,20,1088,0.043409,0.033835,0.671567,0.475266
gemma3_4b,business,40,1088,0.012703,0.009008,0.16422,0.09673
gemma3_4b,technical,5,1088,0.177094,0.142307,2.790315,2.289586
gemma3_4b,technical,10,1088,0.094316,0.077994,1.518926,1.212424
gemma3_4b,technical,20,1088,0.042173,0.034156,0.648994,0.472438
gemma3_4b,technical,40,1088,0.012387,0.009161,0.156333,0.099664
gemma3_4b,travel,5,1088,0.096216,0.072974,1.562632,1.170184
gemma3_4b,travel,10,1088,0.04834,0.036239,0.773178,0.533482
gemma3_4b,travel,20,1088,0.019367,0.013446,0.285549,0.165799
gemma3_4b,travel,40,1088,0.004741,0.002854,0.054486,0.024232
ministral8b,business,5,4608,0.126144,0.085266,1.98672,1.344981
ministral8b,business,10,4608,0.073646,0.049824,1.175888,0.745953
ministral8b,business,20,4608,0.035985,0.023956,0.549618,0.325172
ministral8b,business,40,4608,0.011642,0.007489,0.149033,0.079718
ministral8b,technical,5,4608,0.126134,0.08739,1.986972,1.378229
ministral8b,technical,10,4608,0.073275,0.051026,1.165592,0.759936
ministral8b,technical,20,4608,0.035296,0.024652,0.533528,0.329723
ministral8b,technical,40,4608,0.01145,0.00776,0.142782,0.080466
ministral8b,travel,5,4608,0.093305,0.064629,1.434176,0.951108
ministral8b,travel,10,4608,0.053644,0.037122,0.809876,0.510388
ministral8b,travel,20,4608,0.025427,0.017439,0.358787,0.210006
ministral8b,travel,40,4608,0.007792,0.00501,0.090052,0.047302
qwen3_8b,business,5,4608,0.155257,0.112226,2.519479,1.870812
qwen3_8b,business,10,4608,0.085918,0.061004,1.430509,0.979584
qwen3_8b,business,20,4608,0.039193,0.026991,0.629161,0.392706
qwen3_8b,business,40,4608,0.011441,0.007386,0.152808,0.083662
qwen3_8b,technical,5,4608,0.153082,0.112629,2.492819,1.867835
qwen3_8b,technical,10,4608,0.081404,0.058149,1.356138,0.926821
qwen3_8b,technical,20,4608,0.036445,0.025115,0.579273,0.358707
qwen3_8b,technical,40,4608,0.010746,0.006852,0.139702,0.074891
qwen3_8b,travel,5,4608,0.093296,0.066096,1.577928,1.094585
qwen3_8b,travel,10,4608,0.048461,0.03366,0.807405,0.505318
qwen3_8b,travel,20,4608,0.020265,0.013038,0.311283,0.169668
qwen3_8b,travel,40,4608,0.005272,0.003046,0.063978,0.027772
