model_tag,retention_pct,rows,frob_mean,frob_median,frob_p90,kl_mean,kl_median,kl_p90
gemma3_4b,5,3264,0.150748,0.108564,0.331251,2.385629,1.7394,5.344536
gemma3_4b,10,3264,0.079521,0.055978,0.179629,1.277854,0.842746,3.004759
gemma3_4b,20,3264,0.034983,0.023171,0.080358,0.53537,0.3085,1.275178
gemma3_4b,40,3264,0.009944,0.005945,0.023173,0.125013,0.059172,0.301846
ministral8b,5,13824,0.115194,0.077194,0.254846,1.802623,1.184495,4.154601
ministral8b,10,13824,0.066855,0.045358,0.147725,1.050452,0.657398,2.455803
ministral8b,20,13824,0.032236,0.02183,0.07174,0.480644,0.285318,1.140776
ministral8b,40,13824,0.010295,0.006596,0.022986,0.127289,0.066458,0.301623
qwen3_8b,5,13824,0.133879,0.093719,0.302287,2.196742,1.550784,5.081685
qwen3_8b,10,13824,0.071928,0.048494,0.163966,1.198018,0.759892,2.908479
qwen3_8b,20,13824,0.031968,0.020486,0.073888,0.506572,0.284172,1.265194
qwen3_8b,40,13824,0.009153,0.005402,0.02178,0.118829,0.055774,0.307536
