subset,outcome,term,estimate,std_error,t_value,p_value,n,r2
ALL,erank,Intercept,-539.927455,42.15146,-12.809223,0.0,30912,0.17757
ALL,erank,log_seq_len,115.542056,7.784633,14.842325,0.0,30912,0.17757
ALL,erank,domain_technical,-1.545338,1.15469,-1.338315,0.180804,30912,0.17757
ALL,erank,domain_travel,-20.987828,6.713421,-3.126249,0.001772,30912,0.17757
ALL,erank,model_ministral8b,-64.695552,3.125784,-20.697385,0.0,30912,0.17757
ALL,erank,model_qwen3_8b,-26.026638,1.628715,-15.979857,0.0,30912,0.17757
gemma3_4b,erank,Intercept,-761.610752,124.131074,-6.135537,0.0,3264,0.312948
gemma3_4b,erank,log_seq_len,155.2593,22.970172,6.75917,0.0,3264,0.312948
gemma3_4b,erank,domain_technical,-0.603951,3.131068,-0.19289,0.847057,3264,0.312948
gemma3_4b,erank,domain_travel,-36.477701,20.848039,-1.749695,0.080265,3264,0.312948
ministral8b,erank,Intercept,-691.039664,78.325328,-8.822685,0.0,13824,0.136077
ministral8b,erank,log_seq_len,130.075099,13.541224,9.60586,0.0,13824,0.136077
ministral8b,erank,domain_technical,0.171348,1.908647,0.089775,0.928468,13824,0.136077
ministral8b,erank,domain_travel,-27.221028,10.902692,-2.496726,0.012546,13824,0.136077
qwen3_8b,erank,Intercept,-541.283945,62.051994,-8.723071,0.0,13824,0.18429
qwen3_8b,erank,log_seq_len,111.677069,11.623389,9.607961,0.0,13824,0.18429
qwen3_8b,erank,domain_technical,-3.40618,1.62459,-2.09664,0.036044,13824,0.18429
qwen3_8b,erank,domain_travel,-27.569726,10.522099,-2.620174,0.008798,13824,0.18429
ALL,mean_dist,Intercept,-299.098801,22.420681,-13.340309,0.0,30912,0.667158
ALL,mean_dist,log_seq_len,65.149758,4.140705,15.733976,0.0,30912,0.667158
ALL,mean_dist,domain_technical,-0.375293,0.614188,-0.611038,0.541179,30912,0.667158
ALL,mean_dist,domain_travel,52.006384,3.570919,14.563864,0.0,30912,0.667158
ALL,mean_dist,model_ministral8b,51.317765,1.662628,30.86545,0.0,30912,0.667158
ALL,mean_dist,model_qwen3_8b,8.003462,0.866326,9.238395,0.0,30912,0.667158
gemma3_4b,mean_dist,Intercept,-494.054887,63.429133,-7.789085,0.0,3264,0.498492
gemma3_4b,mean_dist,log_seq_len,103.236452,11.737416,8.795501,0.0,3264,0.498492
gemma3_4b,mean_dist,domain_technical,-0.443499,1.599929,-0.277199,0.781645,3264,0.498492
gemma3_4b,mean_dist,domain_travel,-14.75532,10.653038,-1.385081,0.166122,3264,0.498492
ministral8b,mean_dist,Intercept,-1194.94466,36.402037,-32.826313,0.0,13824,0.71066
ministral8b,mean_dist,log_seq_len,226.901806,6.293343,36.054259,0.0,13824,0.71066
ministral8b,mean_dist,domain_technical,-1.404344,0.887052,-1.583159,0.113408,13824,0.71066
ministral8b,mean_dist,domain_travel,-41.181535,5.067073,-8.127282,0.0,13824,0.71066
qwen3_8b,mean_dist,Intercept,-475.352886,33.180433,-14.326302,0.0,13824,0.506192
qwen3_8b,mean_dist,log_seq_len,101.380935,6.215257,16.311625,0.0,13824,0.506192
qwen3_8b,mean_dist,domain_technical,-2.435151,0.8687,-2.803212,0.005067,13824,0.506192
qwen3_8b,mean_dist,domain_travel,-7.806141,5.626375,-1.387419,0.165336,13824,0.506192
